TractFIPS,State,City,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PAPTEST_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev
12031013522,FL,Jacksonville,21,17.8,20.4,28.6,71.4,4.6,8,4.5,74,74.4,62.6,5.9,34,29.6,19.4,58.9,8.8,31.6,2.3,26,80.3,13.4,30.3,83.1,11.5,39.2,2.4,14.5
12031013721,FL,Jacksonville,23.2,19.2,20,31.5,71.8,4.6,8.7,5,73.4,71,59.6,7,32.3,29.3,23.2,54.3,9.4,33.6,2.4,29,78.7,15.1,32.2,82.8,13.1,40.4,2.8,18.5
12031013723,FL,Jacksonville,21.1,21.6,19.4,32.3,73.8,5.3,8.6,5.8,73.8,74.9,60.9,7.9,32.6,29.5,22.7,55.5,10.4,35.2,2.7,28.7,78.9,15,32.6,83.3,14,39.4,3.1,17.5
12031013726,FL,Jacksonville,19.6,19.8,20.7,30.1,72.8,5.2,8,5.1,73.5,76.3,63.1,6.7,34.9,31.6,20.9,59.4,9.2,33.6,2.4,26.2,79.3,13.7,30.5,83.3,12.3,38.5,2.6,14.9
12031013727,FL,Jacksonville,16.8,20.6,20,31.1,75.5,5.7,7.7,5.2,75.3,79.7,65.3,6.3,35.5,32.6,18.4,63.4,9.7,34.7,2.4,24.8,79.8,12.4,29.2,83.2,11.6,37.8,2.6,12
12031013800,FL,Jacksonville,24.9,8.3,28.7,16.3,46.6,1.9,7.5,2.1,66,52.6,60.2,4.1,33.4,27.1,22,53.5,3.6,20.3,1.3,22.8,79.1,15.4,25.6,80.9,8.5,37.5,1.1,20.3
12031013901,FL,Jacksonville,25.4,12.7,26.4,21.4,59.4,3,7.5,3.6,67.6,60.8,57.9,5.6,31.4,27.9,23.4,51.5,6.3,26.3,1.8,25.5,78.4,15.2,28.5,80.5,10.7,38.7,1.9,18.9
12031013904,FL,Jacksonville,23.5,20.6,20.8,29.8,71.8,4.9,8.5,5.7,71.6,70.5,58.7,8.1,31,27.9,24.8,52.4,9.8,34.7,2.6,30,78.1,16,31.8,81.4,14.1,39.1,3,18.9
12031013906,FL,Jacksonville,13.2,21.9,20.2,30.5,77.4,7.3,7.2,6.1,75.9,81.4,64.8,5.9,40.2,35.3,14,70.4,8.2,35.1,2.5,20.9,80.4,10.7,25.3,85,10.4,32.5,2.7,10.6
12031014311,FL,Jacksonville,24.3,22.6,19.4,33.2,74.3,5.6,8.6,6.6,72.8,71.8,59.7,8.8,32.2,28.2,23.8,52.4,10.8,37.1,2.9,30.9,77.4,15.6,32.1,82.1,14.9,38.6,3.4,20.6
12031014312,FL,Jacksonville,19.9,17.7,20.7,26.6,70.7,4.5,7.9,4.6,71.8,72.4,61.3,6.2,33.2,30.1,19.8,58.4,8.5,32,2.3,25.7,79.5,13.8,28.3,82,11.7,37.6,2.4,14.9
12031014326,FL,Jacksonville,14.1,19.7,21,27.6,74.5,5.9,7.3,5,74.2,81.1,66.9,5.8,38.5,34,16.1,68.1,8.3,33.6,2.3,21.5,80.3,11.5,26.4,84.2,10.5,34.8,2.3,10.4
12031014328,FL,Jacksonville,16.5,20.1,20.2,30.5,75.2,5.8,7.5,5.1,74.3,78.4,65.6,6.2,36.4,33.3,17.9,64.2,9,35.1,2.4,24,79.4,12.1,27.3,83,11.2,36.6,2.5,12.2
12031014329,FL,Jacksonville,15,17.9,22.9,26.8,73,5.3,7,4.4,73.5,80,67.1,5.1,39.1,35.2,16.6,68.4,7.8,32.7,2,21.2,80.1,11.1,26,83.4,9.8,35.5,2,9.6
12031014330,FL,Jacksonville,11.5,24.8,19.4,33.3,79.9,8,7,6.6,77.4,86.3,71.4,6.7,40.3,37.2,14.7,72,9.8,39,2.6,21.2,80.1,10.2,26,83.7,11.1,32.4,2.7,9
12031014331,FL,Jacksonville,17.1,20,21.8,29.2,73.9,5.9,7.3,5.3,72.9,77,66.3,6.3,37.4,33.9,17.3,65.5,8.3,35.3,2.3,22.7,79.4,12.1,27.3,84,11.3,34.5,2.4,12.1
12031014332,FL,Jacksonville,14.1,17.4,23.5,24.7,72.1,5.4,7.1,4.3,73,78,68.8,5.1,39.6,35.3,15.4,69.8,6.9,31.2,2,19.5,80.4,11.2,24.8,83.7,9.3,33.6,1.9,9.7
12031014333,FL,Jacksonville,16.1,22.4,20,31.6,77.2,6.7,7.5,6,75.6,80.4,68,6.7,37.2,33.5,17.4,65.1,9.5,35.6,2.6,24.1,79.8,11.8,28.1,83.7,11.5,35.3,2.8,12.4
12031014334,FL,Jacksonville,15.5,22.1,18.8,33.1,77.3,6.3,7.6,5.9,76,80.2,65.3,6.6,36.9,32.9,17.2,64.2,10,36.6,2.6,24.5,80.2,12,29.1,84,11.8,36.3,2.8,12.5
12031014335,FL,Jacksonville,14.8,17.9,22.7,26.7,72.6,5.3,7.1,4.2,73.8,79.9,67.3,5.2,38.5,35.3,16.9,68.2,7.6,32.1,2,21.3,80.2,11.4,26.8,83.8,9.9,36,2,10
12031014336,FL,Jacksonville,17.4,16.8,21.7,27.2,71.7,4.6,7.4,4,73.1,76.7,63,5.2,36.2,33.1,18,64.5,7.9,32.3,2,23.2,79.4,12.1,26.6,82.5,10.3,37.5,2,11.3
