State,Tract,Total Population
FL,12057000401,2560
FL,12057000402,2839
FL,12057000500,3651
FL,12057000601,5169
FL,12057000602,2544
FL,12057000700,5888
FL,12057000800,3415
FL,12057000901,2785
FL,12057000902,4172
FL,12057001001,3913
FL,12057001002,5118
FL,12057001100,2594
FL,12057001200,2558
FL,12057001300,6494
FL,12057001400,4755
FL,12057001500,2624
FL,12057001600,1918
FL,12057001700,4322
FL,12057001800,3913
FL,12057001900,3279
FL,12057002000,3069
FL,12057002100,2990
FL,12057002200,1821
FL,12057002300,3489
FL,12057002400,3588
FL,12057002500,6213
FL,12057002600,1262
FL,12057002700,6910
FL,12057002800,3201
FL,12057002900,2128
FL,12057003000,2696
FL,12057003100,2753
FL,12057003200,2559
FL,12057003300,2132
FL,12057003400,2841
FL,12057003500,2588
FL,12057003600,4889
FL,12057003700,960
FL,12057003800,1016
FL,12057003900,2277
FL,12057004000,623
FL,12057004100,1597
FL,12057004200,1265
FL,12057004300,2322
FL,12057004400,2141
FL,12057004500,4054
FL,12057004600,4654
FL,12057004700,2734
FL,12057004800,4046
FL,12057004900,4641
FL,12057005000,5963
FL,12057005101,1446
FL,12057005102,3713
FL,12057005301,3100
FL,12057005302,1953
FL,12057005401,5349
FL,12057005500,2393
FL,12057005700,3971
FL,12057005800,4801
FL,12057005900,6433
FL,12057006000,5441
FL,12057006101,3293
FL,12057006103,3778
FL,12057006200,4181
FL,12057006300,4414
FL,12057006400,4122
FL,12057006501,3860
FL,12057006502,2071
FL,12057006600,4050
FL,12057006700,5737
FL,12057006801,4496
FL,12057006802,3490
FL,12057006900,5668
FL,12057007001,3734
FL,12057007002,3383
FL,12057007102,2913
FL,12057007103,4188
FL,12057007200,4180
FL,12057007300,2369
FL,12057010103,4197
FL,12057010105,4577
FL,12057010106,5501
FL,12057010107,3613
FL,12057010108,1937
FL,12057010203,1728
FL,12057010204,5862
FL,12057010205,10015
FL,12057010209,12171
FL,12057010210,4263
FL,12057010211,5714
FL,12057010212,5312
FL,12057010213,1830
FL,12057010214,204
FL,12057010303,3566
FL,12057010304,3944
FL,12057010305,3866
FL,12057010401,5671
FL,12057010402,5974
FL,12057010501,5742
FL,12057010502,2471
