Tract,Heart.Diseases
12011060504,55.08
12011060505,348.93
12011060603,32.42
12011060605,15.86
12011060606,136.59
12011060607,76.82
12011060608,163.81
12011060609,42.46
12011060700,87.99
12011060801,91.42
12011060802,68.61
12011060900,128.09
12011061001,120.32
12011061002,49.15
12011061100,46.36
12011070101,84.51
12011070102,134.81
12011070204,23.87
12011070205,68.31
12011070207,150.07
12011070208,67.2
12011070209,44.97
12011070210,159.26
12011070211,60.07
12011070304,47.24
12011070305,41.82
12011070306,38.48
12011070310,41.11
12011070311,30.24
12011070312,35.27
12011070313,40.57
12011070314,71.86
12011070315,56.89
12011070316,58.59
12011070317,18.19
12011070318,33.22
12011070319,14.77
12011070320,24.32
12011070321,136.75
12011070322,46.36
12011070401,60.95
12011070402,67.7
12011070403,63.37
12011070404,75.42
12011070405,35.39
12011070501,35.71
12011070502,24.71
12011070601,57.08
12011070602,80.43
12011080101,103.47
12011080102,108.56
12011080103,52.12
12011080200,226.1
12011080402,162.76
12011080403,74.82
12011080405,90.81
12011080406,74.56
12011080500,65.58
12011090101,144.16
12011090102,114.01
12011090200,58.65
12011090301,176.38
12011090302,126.42
12011090401,69.36
12011090403,59.79
12011090404,77.87
12011090502,71.74
12011090503,120.06
12011090504,79.04
12011090601,89.11
12011090602,102.5
12011090700,56.86
12011090801,67.73
12011090802,287.25
12011090900,81.13
12011091000,105.19
12011091100,66.36
12011091201,44.39
12011091202,34.01
12011091300,68.79
12011091400,70.13
12011091500,44.65
12011091600,205.16
12011091701,58.48
12011091702,84.37
12011091801,43.59
12011091802,35.59
12011091901,70.46
12011091902,67.26
12011092000,49.07
12011100101,127.1
12011100103,151.88
12011100104,239.78
12011100105,178.63
12011100201,41.2
12011100202,112.27
12011100300,67.7
12011100400,61.66
12011100501,72.31
12011100502,67.85
12011100600,57.38
12011100700,116.44
12011100801,38.31
12011100802,58.03
12011110100,50.44
12011110301,42.4
12011110302,39.76
12011110303,51.68
12011110307,47.3
12011110308,43.59
12011110309,80.27
12011110311,58.31
12011110312,30.94
12011110313,39.58
12011110319,38.89
12011110320,32.95
12011110321,21.18
12011110322,25.16
12011110323,26.51
12011110324,27.77
12011110325,27.11
12011110326,37.76
12011110327,22.7
12011110328,22.52
12011110330,12.65
12011110331,31.53
12011110332,57.44
12011110333,26.87
12011110334,310.2
12011110335,331.46
12011110336,19.47
12011110337,23.39
12011110338,30.36
12011110339,145.8
12011110340,75.62
12011110341,101.13
12011110342,14.87
12011110343,37.32
12011110402,52.46
12011110403,39.92
12011110404,38.35
12011110501,48.81
12011110502,37.73
12011110600,62.98
12013010100,131.19
12013010200,123.8
12013010300,108.75
12015010100,80.84
12015010200,173.42
12015010301,252.07
12015010302,150.88
12015010401,174.06
12015010402,202.91
12015010403,199
12015010404,140.31
12015010501,135.06
12015010502,136.05
12015020101,174.35
12015020103,111.06
12015020104,162.69
12015020201,136.92
12015020202,158.01
12015020301,166.27
12015020302,147.34
12015020303,143.09
12015020400,117.63
12015020501,145.3
12015020502,155.69
12015020601,203.41
12015020602,179.96
12015020700,284.53
12015020800,104.95
12015020900,147.14
12015021001,182.78
12015021002,139.14
12015021003,377.93
12015030100,155.32
12015030200,134.01
12015030301,210.74
12015030302,239.15
12015030401,174.39
12015030402,118.05
12015030501,136.69
12015030502,156.22
12015030503,179.81
12017450101,314.11
12017450102,330.87
12017450201,267.38
12017450202,325.86
12017450302,138.72
12017450303,246.52
12017450304,160.52
12017450400,223.79
12017450500,186.22
12017450601,226.89
12017450602,330.87
12017450701,241.65
12017450702,191.42
12017450800,206.7
12017450901,223.48
12017450902,273.1
12017451000,279.69
12017451101,182.2
12017451102,238.34
12017451200,259.04
12017451300,214.08
12017451400,197.03
12017451501,178.82
