Tract,County,Acute.Bronchitis...Bronchiolitis,Alzheimers.Disease,Anemias,Aortic.Aneurysm...Dissection,Appendix.Diseases,Atherosclerosis,Cerebrovascular.Diseases,Cholelithiasis...Other.Gallbladder.Disorders,Chronic.Liver.Disease...Cirrhosis,Chronic.Lower.Respiratory.Disease,Congenital.Malformations,Diabetes.Mellitus,Essen.Hypertension...Hypertensive.Renal.Dis,Female.Pelvic.Organs.Inflammatory.Diseases,Heart.Diseases,Hernia,Homicide,Hyperplasia.of.Prostate,In.Situ..Benign..Uncertain.and.Unknown.Behavior.Neoplasms,Influenza...Pneumonia,Kidney.Infections,Legal.Intervention,Malaria,Malignant.Neoplasm.or.Cancer,Medical...Surgical.Care.Complications,Meningitis,Meningococcal.Infection,Nephritis..Nephrotic.Syndrome..Nephrosis,Nutritional.Deficiencies,Other.Non.rankable.Cause.of.Death,Parkinsons.Disease,Peptic.Ulcer,Perinatal.Period.Conditions,Pneumoconiosis...Chemical.Effects,Pneumonitis.Due.To.Solids...Liquids,Pregnancy..Childbirth.and.the.Puerperium,Salmonella.Infections,Septicemia,Syphilis,Tuberculosis,Unintentional.Injury,Viral.Hepatitis
12005000400,Bay,0,14.37,0,0,0,0,25.42,0,6.63,34.26,1.11,18.79,8.84,0,98.35,0,5.53,0,26.52,7.74,0,0,0,89.51,0,0,0,5.53,0,55.25,4.42,2.21,0,0,1.11,0,0,7.74,0,0,16.58,3.32
12005000500,Bay,0,31.47,3.31,1.66,0,0,11.6,0,8.28,29.82,0,24.85,19.88,0,79.51,0,4.97,0,21.53,9.94,0,0,0,81.17,0,0,0,18.22,0,48.04,4.97,0,1.66,0,8.28,1.66,0,4.97,0,0,24.85,3.31
12005000600,Bay,0,13.54,0,0,0,6.77,47.39,0,13.54,47.39,0,27.08,13.54,0,115.1,0,0,0,27.08,13.54,0,0,0,67.7,0,0,0,0,6.77,67.7,6.77,0,0,0,0,0,0,6.77,0,0,40.62,6.77
12005000700,Bay,0,0,0,0,0,0,0,0,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12005000803,Bay,0,18.05,0,0,0,0,18.05,1.81,5.42,59.57,3.61,16.25,7.22,0,119.13,1.81,1.81,0,25.27,7.22,0,0,0,72.2,0,0,0,14.44,0,74.01,1.81,0,1.81,0,1.81,0,0,5.42,0,0,27.08,3.61
12005000804,Bay,0,14.33,0,0,0,0,19.11,0,9.56,23.89,0,19.11,4.78,0,119.45,0,0,0,33.44,0,0,0,0,105.11,0,0,0,9.56,0,66.89,9.56,0,0,4.78,0,0,0,4.78,0,4.78,19.11,0
12005000805,Bay,0,17.48,2.18,2.18,0,0,15.29,0,13.11,37.14,6.55,26.22,10.92,0,139.83,0,6.55,0,30.59,0,0,0,0,87.39,0,0,0,6.55,0,72.1,0,2.18,0,2.18,4.37,0,0,15.29,0,0,24.03,0
12005000806,Bay,0,19.48,0,2.44,0,0,12.18,0,9.74,34.1,2.44,17.05,9.74,0,82.81,0,2.44,0,21.92,7.31,0,0,0,51.14,9.74,0,0,7.31,2.44,56.02,2.44,0,0,0,2.44,0,0,7.31,0,0,19.48,0
12005000900,Bay,0,21.98,0,4.4,0,0,26.38,0,10.99,41.77,2.2,17.59,26.38,0,171.47,0,0,0,21.98,13.19,0,0,0,120.91,0,0,0,13.19,0,63.75,4.4,0,2.2,0,4.4,2.2,0,13.19,0,0,35.17,2.2
12005001000,Bay,0,16.94,0,0,0,4.24,25.41,0,4.24,55.06,0,38.12,12.71,0,203.3,0,4.24,0,21.18,21.18,0,0,0,110.12,0,0,0,8.47,4.24,101.65,8.47,0,8.47,0,8.47,4.24,0,8.47,0,0,33.88,0
