State,Tract,Acute Bronchitis & Bronchiolitis,Alzheimers Disease,Anemias,Aortic Aneurysm & Dissection,Appendix Diseases,Atherosclerosis,Cerebrovascular Diseases,Cholelithiasis & Other Gallbladder Disorders,Chronic Liver Disease & Cirrhosis,Chronic Lower Respiratory Disease,Congenital Malformations,Diabetes Mellitus,Essen Hypertension & Hypertensive Renal Dis,Female Pelvic Organs-Inflammatory Diseases,Heart Diseases,Hernia,Homicide,Hyperplasia of Prostate,"In Situ, Benign, Uncertain and Unknown Behavior Neoplasms",Influenza & Pneumonia,Kidney Infections,Legal Intervention,Malaria,Malignant Neoplasm or Cancer,Medical & Surgical Care Complications,Meningitis,Meningococcal Infection,"Nephritis, Nephrotic Syndrome, Nephrosis",Nutritional Deficiencies,Other Non-rankable Cause of Death,Parkinsons Disease,Peptic Ulcer,Perinatal Period Conditions,Pneumoconiosis & Chemical Effects,Pneumonitis Due To Solids & Liquids,"Pregnancy, Childbirth and the Puerperium",Salmonella Infections,Septicemia,Syphilis,Tuberculosis,Unintentional Injury,Viral Hepatitis
FL,12005000803,0,10,0,0,0,0,10,1,3,33,2,9,4,0,66,1,1,0,14,4,0,0,0,40,0,0,0,8,0,41,1,0,1,0,1,0,0,3,0,0,15,2
FL,12005000804,0,3,0,0,0,0,4,0,2,5,0,4,1,0,25,0,0,0,7,0,0,0,0,22,0,0,0,2,0,14,2,0,0,1,0,0,0,1,0,1,4,0
FL,12005000805,0,8,1,1,0,0,7,0,6,17,3,12,5,0,64,0,3,0,14,0,0,0,0,40,0,0,0,3,0,33,0,1,0,1,2,0,0,7,0,0,11,0
FL,12005000806,0,8,0,1,0,0,5,0,4,14,1,7,4,0,34,0,1,0,9,3,0,0,0,21,4,0,0,3,1,23,1,0,0,0,1,0,0,3,0,0,8,0
FL,12005000900,0,10,0,2,0,0,12,0,5,19,1,8,12,0,78,0,0,0,10,6,0,0,0,55,0,0,0,6,0,29,2,0,1,0,2,1,0,6,0,0,16,1
FL,12005001000,0,4,0,0,0,1,6,0,1,13,0,9,3,0,48,0,1,0,5,5,0,0,0,26,0,0,0,2,1,24,2,0,2,0,2,1,0,2,0,0,8,0
FL,12005001100,0,10,0,0,0,0,14,0,2,19,3,15,5,0,50,0,2,0,16,5,0,0,0,54,1,0,0,6,0,36,2,0,5,0,2,0,0,0,0,0,13,3
FL,12005001200,0,5,0,0,0,0,10,1,1,15,1,7,3,0,35,0,6,0,6,5,0,0,0,19,0,0,0,7,1,18,0,0,0,0,1,0,0,3,0,0,8,3
FL,12005001301,0,12,1,0,0,0,8,0,2,12,0,14,13,0,48,0,1,0,7,5,0,0,0,30,0,0,0,1,0,30,0,0,1,0,0,0,0,2,0,0,10,1
FL,12005001302,0,11,1,1,0,1,10,0,5,26,3,16,7,0,86,0,1,0,17,5,0,0,0,72,0,0,0,8,0,32,2,0,4,0,0,0,0,5,0,0,16,1
FL,12005001402,0,16,2,1,0,0,15,0,3,24,1,14,8,0,77,0,0,0,15,9,0,0,0,58,1,0,0,6,0,26,3,0,0,0,2,0,0,6,0,0,22,1
FL,12005001403,0,5,0,0,0,0,6,0,1,18,0,2,1,0,28,0,0,0,5,3,0,0,0,15,0,0,0,3,0,15,0,0,0,0,2,0,0,3,0,0,6,0
FL,12005001404,0,8,1,1,0,1,14,2,5,24,1,10,7,0,63,0,1,0,17,6,0,0,0,59,0,0,0,2,0,38,2,0,1,0,2,0,0,4,0,0,16,3
FL,12005001501,0,17,0,0,0,1,15,0,2,21,2,12,11,0,77,1,1,0,4,9,0,0,0,31,0,0,0,5,0,44,1,0,0,0,4,0,0,3,0,0,9,2
FL,12005001502,0,36,2,1,0,0,16,0,5,44,1,23,15,0,106,0,1,0,20,8,0,0,0,71,0,0,0,5,2,43,2,0,0,0,4,0,0,10,0,0,15,2
FL,12005001600,0,19,1,1,0,1,17,0,6,27,1,17,10,0,67,0,5,0,15,7,0,0,0,42,0,0,0,10,0,41,4,1,3,0,3,0,0,6,0,0,8,2
FL,12005001700,0,3,2,0,0,0,11,1,1,18,3,14,4,0,49,0,2,0,14,5,0,0,0,28,0,0,0,4,0,37,0,0,1,0,0,0,0,3,0,0,9,2
FL,12005001800,0,3,0,0,0,0,2,0,2,13,0,6,1,0,16,0,1,0,5,1,0,0,0,16,1,0,0,1,0,7,0,0,1,0,0,0,0,0,0,0,4,2
FL,12005001900,0,17,1,0,0,1,16,0,4,16,0,8,8,0,67,0,2,0,9,7,0,0,0,50,0,0,0,3,1,35,1,0,2,1,0,0,0,5,0,0,13,1
FL,12005002000,0,4,0,1,0,0,11,0,2,17,1,7,5,0,42,0,0,0,7,2,0,0,0,33,0,0,0,0,0,21,0,0,0,0,1,0,0,1,0,0,12,2
FL,12005002200,0,19,0,1,0,1,15,0,4,31,1,10,4,0,94,0,3,0,4,6,0,0,0,45,2,0,0,8,0,34,2,0,1,0,2,0,0,5,0,0,13,5
FL,12005002300,0,12,0,1,0,1,10,0,4,20,0,8,4,0,55,2,1,0,9,2,0,0,0,33,0,2,0,5,1,37,0,0,0,0,1,0,0,3,0,0,13,0
FL,12005002400,0,5,0,1,0,0,6,0,6,19,0,12,6,0,44,0,0,0,12,3,0,0,0,32,0,0,0,2,0,29,2,1,2,0,0,0,0,3,0,0,12,2
