Tract,Aortic.Aneurysm...Dissection,Cerebrovascular.Diseases,Diabetes.Mellitus,Essen.Hypertension...Hypertensive.Renal.Dis,Heart.Diseases,In.Situ..Benign..Uncertain.and.Unknown.Behavior.Neoplasms,Malignant.Neoplasm.or.Cancer,Nephritis..Nephrotic.Syndrome..Nephrosis,Atherosclerosis
12009064125,0,16.69,10.02,1.67,140.21,3.34,125.19,10.02,1.67
12009064126,0,18.43,11.52,4.61,89.84,4.61,129,2.3,0
12009064127,2.63,13.14,10.52,1.31,123.55,1.31,131.44,10.52,0
12009064128,0.78,26.51,10.91,1.56,103.69,0.78,130.97,11.69,0
12009064201,9.69,19.38,29.07,0,208.33,9.69,218.02,14.53,4.84
12009064202,6.62,72.8,9.93,9.93,241.56,9.93,168.76,9.93,0
12009064301,4.86,17.82,11.34,1.62,118.24,4.86,139.29,8.1,0
12009064302,0,18.86,18.86,5.8,97.19,4.35,98.64,13.05,0
12009064400,2.06,28.82,16.47,4.12,152.36,6.18,158.53,16.47,2.06
12009064500,0,15.75,18,2.25,116.99,0,164.23,4.5,0
12009064601,0,35.74,17.16,1.43,220.19,4.29,151.56,10.01,2.86
12009064602,0,41.84,38.04,0,296.69,19.02,220.62,15.21,0
12009064700,2.46,73.84,24.61,7.38,361.8,4.92,221.51,32,7.38
12009064800,3.47,66,34.73,3.47,232.72,3.47,218.83,27.79,0
12009064901,1.53,15.32,7.66,6.13,127.13,3.06,116.4,9.19,0
12009064902,5.46,38.24,16.39,5.46,191.2,2.73,120.19,27.31,0
12009065001,0,18.53,24.71,6.18,151.33,6.18,95.74,3.09,0
12009065021,1.71,38.57,12,8.57,151.7,3.43,125.99,12.86,0.86
12009065022,3.82,32.46,7.64,7.64,175.64,5.73,164.18,11.45,1.91
12009065121,1.47,26.44,19.09,2.94,135.12,5.87,130.71,4.41,0
12009065122,2.82,33.85,11.28,8.46,163.61,1.41,167.84,11.28,2.82
12009065123,2.66,18.61,31.91,5.32,148.9,0,196.76,15.95,0
12009065124,0,30.28,15.14,7.57,196.82,0,136.26,18.93,0
12009065125,4.98,41.49,26.55,19.91,245.6,8.3,167.61,21.57,0
12009065201,6.66,58.26,36.62,16.64,239.68,6.66,203.06,8.32,1.66
12009065202,4.08,24.45,28.53,6.11,150.8,4.08,154.88,8.15,2.04
12009065231,3.48,31.29,12.17,3.48,135.58,1.74,146.01,10.43,0
12009065234,5.14,46.27,17.99,15.42,231.36,12.85,233.93,12.85,0
12009065235,11.98,53.89,37.92,15.97,311.38,5.99,329.34,29.94,3.99
12009065236,6.7,26.81,6.7,6.7,120.64,6.7,113.94,20.11,0
12009066101,4.5,20.27,4.5,2.25,123.85,2.25,155.37,4.5,4.5
12009066103,0,35.99,5.14,5.14,179.95,10.28,185.09,5.14,0
12009066104,0,33.7,14.74,2.11,139.01,8.42,160.07,14.74,0
12009066200,0,29.9,7.47,11.21,142,0,130.79,14.95,0
12009066301,5.95,22.31,7.44,4.46,111.54,4.46,145.75,11.9,0
12009066302,4.37,30.57,0,0,117.9,2.18,135.37,10.92,0
12009066400,4.23,40.18,8.46,2.11,181.86,8.46,173.4,14.8,0
12009066500,2.65,23.85,7.95,2.65,95.39,2.65,100.69,7.95,0
12009066600,4.79,23.96,7.19,0,170.14,2.4,158.16,2.4,0
12009066700,2.03,22.37,6.1,4.07,117.93,8.13,162.67,10.17,0
12009066800,0,5.79,5.79,0,40.56,0,46.35,5.79,0
12009066900,4.41,35.24,13.22,5.87,116.01,5.87,143.91,7.34,0
12009067100,0,0,0,0,6.93,0,6.93,0,0
12009068101,0,24.45,9.78,4.89,180.93,0,210.27,4.89,0
12009068102,2.99,41.8,5.97,5.97,161.24,0,161.24,5.97,2.99
12009068200,6.69,36.8,3.35,0,140.52,0,254.27,10.04,3.35
12009068300,7.56,56.67,15.11,3.78,230.45,0,264.45,18.89,0
12009068400,0,37.4,37.4,14.03,210.38,9.35,163.63,18.7,0
12009068501,0,42.15,34.48,11.49,103.45,3.83,141.76,15.33,0
12009068502,0,37.72,12.57,4.19,167.64,4.19,184.41,8.38,0
12009068601,0,45.99,15.33,5.11,132.86,5.11,148.19,0,0
12009068602,0,34.42,17.21,2.46,113.11,7.38,135.23,4.92,0
12009069100,2.17,26.06,17.38,6.52,123.81,2.17,147.7,6.52,2.17
12009069200,0,26.93,15.39,0,161.6,7.7,261.64,7.7,0
12009069300,9.51,28.54,6.34,0,104.66,6.34,161.75,19.03,0
12009069400,0,35.82,12.46,3.11,144.84,4.67,155.74,3.11,1.56
12009069700,0,34.63,19.24,0,134.67,0,119.28,15.39,0
12009069801,2.78,44.46,2.78,2.78,166.71,8.34,197.28,16.67,0
12009069802,4.19,16.78,18.87,4.19,138.39,2.1,153.07,6.29,2.1
12009069901,2.57,34.63,8.98,6.41,128.25,3.85,115.43,7.7,1.28
12009069902,2.25,90.07,27.02,6.76,207.16,2.25,162.13,20.27,2.25
12009071100,4.86,34,17,7.29,152.99,0,196.7,12.14,0
12009071200,0.62,21.08,13.02,1.86,93.01,3.72,110.99,8.06,0
12009071301,0,12.14,6.07,2.02,70.82,2.02,123.43,16.19,2.02
12009071322,0,14.59,14.59,4.17,68.8,0,105.29,2.08,0
12009071332,2.13,15.62,16.33,3.55,66.02,3.55,83.77,11.36,0
12009071334,3.44,17.18,6.87,4.58,111.12,1.15,114.56,3.44,0
12009071335,2.21,28.79,15.5,4.43,139.53,0,157.25,19.93,0
12009071336,0,16.95,20.03,6.16,158.68,0,161.76,10.78,1.54
12009071337,3.79,21.47,10.1,8.84,92.19,1.26,92.19,7.58,0
12009071338,1.12,15.66,11.18,5.59,84.99,6.71,101.77,8.95,0
12009071339,1.43,18.6,10.02,5.72,93,1.43,93,7.15,1.43
12009071340,3.26,24.46,8.15,5.71,97.02,0.82,125.55,9.78,0.82
12009071400,2.96,62.24,20.75,8.89,222.29,0,148.19,14.82,2.96
12009071500,0,47.21,25.75,21.46,175.97,4.29,227.47,12.88,4.29
12009071600,4.77,66.75,23.84,7.15,169.25,0,205.01,9.54,2.38
12011010102,3.37,33.7,3.37,13.48,97.74,6.74,107.85,0,0
12011010103,0,39.37,9.84,3.28,196.85,3.28,150.92,19.69,0
12011010104,0,51.09,4.64,0,139.34,4.64,125.41,9.29,0
12011010200,3.21,41.74,14.45,1.61,86.69,3.21,110.77,8.03,1.61
12011010304,0,29.95,23.04,11.52,92.14,4.61,57.59,6.91,0
12011010305,0,18.21,11.38,6.83,77.4,0,116.09,25.04,0
12011010306,0,22.99,11.49,11.49,122.61,0,107.28,11.49,0
12011010307,0,56.15,24.41,4.88,104.98,2.44,102.54,14.65,0
12011010308,2.03,121.7,12.17,6.09,273.83,4.06,170.39,16.23,4.06
12011010401,0,29.91,9.97,1.99,97.71,1.99,77.77,11.96,0
12011010402,6.33,98.16,28.5,12.67,288.16,6.33,246.99,25.33,12.67
12011010403,8.56,100.56,23.53,10.7,425.76,12.84,282.41,25.67,12.84
12011010405,0,13.89,4.17,1.39,56.93,0,54.15,5.55,0
12011010406,0,21.56,7.19,0,62.28,2.4,47.9,0,0
12011010407,1.92,90.21,11.52,13.44,284.07,9.6,184.26,15.36,5.76
12011010502,0,9.96,0,2.49,32.36,0,32.36,7.47,0
12011010503,0,11.9,1.98,0,29.75,0.66,27.76,0.66,0
12011010504,0,7.26,1.45,4.36,34.85,1.45,42.11,2.9,0
12011010601,0,40.45,6.56,1.09,102.77,0,56.85,7.65,2.19
12011010603,0,21.24,3.54,3.54,51.32,5.31,46.01,1.77,3.54
12011010604,0,12.65,2.11,2.11,16.87,0,44.29,8.44,0
12011010605,1.37,27.38,4.11,4.11,31.49,0,56.13,1.37,0
12011010606,0,13.07,1.31,2.61,26.14,0,30.06,1.31,0
12011010607,0.95,38.93,2.85,7.6,63.61,0.95,36.08,5.7,1.9
12011010609,2.37,11.84,7.11,2.37,21.32,0,40.27,2.37,0
12011010610,0,22.28,2.97,0,78.74,4.46,65.37,1.49,0
12011010611,0,34.64,2.31,0,41.57,4.62,39.26,9.24,0
12011010612,0,16.4,1.64,0,19.68,0,34.44,0,0
12011010701,1.59,28.54,9.51,3.17,63.43,1.59,84.05,3.17,0
12011010702,0,15.06,12.05,5.02,62.27,3.01,49.21,10.04,2.01
12011010800,1.28,11.52,5.12,3.84,56.33,1.28,61.45,2.56,1.28
12011010901,0,34.87,11.62,7.75,77.49,3.87,112.36,3.87,3.87
12011010902,6.97,45.33,0,3.49,135.98,6.97,90.66,10.46,3.49
12011011000,0,47.78,6.83,20.48,204.78,6.83,252.56,13.65,0
12011020101,1.2,19.12,7.17,2.39,63.34,2.39,97.99,3.59,2.39
12011020103,3.41,47.68,6.81,8.51,108.97,0,73.22,3.41,1.7
12011020104,0,27.7,6.93,0,76.18,3.46,65.79,3.46,0
12011020204,0,48.97,7,7,111.93,5.25,94.44,7,1.75
12011020205,3.14,39.2,6.27,4.7,111.34,1.57,112.91,6.27,3.14
12011020206,4.36,34.91,10.91,0,37.09,0,54.55,2.18,0
12011020207,0,48.06,15.45,3.43,139.03,3.43,120.15,17.16,5.15
12011020209,0,106.18,11.38,3.79,136.52,0,117.56,3.79,0
12011020210,1.46,56.99,10.23,1.46,93.53,7.31,92.06,11.69,0
12011020211,0,56.84,15.16,11.37,189.47,3.79,140.2,15.16,0
12011020212,9.39,81.35,21.9,0,234.67,6.26,181.48,21.9,15.64
12011020302,1.35,16.22,6.76,2.7,32.45,0,56.78,4.06,1.35
12011020308,1.56,7.81,1.56,0,28.11,0,29.67,3.12,0
12011020309,3.18,15.92,4.78,0,30.25,1.59,46.17,1.59,0
12011020311,0,30.72,12.29,0,61.44,3.07,89.09,3.07,0
12011020312,0,14.84,5.56,3.71,22.26,0,44.52,0,0
12011020313,0,28.31,4.72,1.57,67.62,1.57,55.04,3.15,0
12011020314,1.9,47.4,7.58,5.69,134.62,0,87.22,5.69,0
12011020315,3.82,11.46,5.73,0,72.6,1.91,53.5,13.37,0
12011020316,2.55,28.03,5.1,0,38.23,0,33.13,2.55,2.55
12011020317,0,20.74,5.93,0,23.7,0,68.15,0,0
12011020318,0,14.92,2.13,3.2,34.1,1.07,57.54,6.39,0
12011020319,0,18.49,6.16,0,24.66,0,49.31,3.08,0
12011020320,0,13.03,3.72,0,37.22,0,55.83,1.86,1.86
12011020321,0,37.19,0,0,31.88,0,58.45,5.31,10.63
12011020322,0,6.61,0,3.31,39.67,3.31,42.98,16.53,0
12011020323,0,21.1,5.27,0,50.11,0,52.74,7.91,0
12011020324,1.55,51.07,9.29,1.55,105.23,4.64,75.83,6.19,4.64
12011020325,0,15.75,6.3,9.45,72.44,3.15,69.29,6.3,0
12011020326,1.5,16.51,9,1.5,30.02,0,33.02,4.5,0
12011020404,1.16,33.64,4.64,4.64,38.28,0,38.28,5.8,0
12011020405,0,3.98,3.98,0,35.86,0,47.81,5.98,1.99
12011020406,2.53,51.93,19,11.4,143.11,1.27,98.78,2.53,0
12011020407,3.94,19.71,14.45,1.31,34.16,0,45.98,1.31,0
12011020409,4.03,134.3,26.86,10.74,369.33,13.43,272.63,25.52,5.37
12011020411,0,38.68,6.67,1.33,118.71,0,122.72,6.67,1.33
12011020412,0,8.5,2.83,0,33.99,0,28.33,2.83,0
12011020413,2.65,15.89,5.3,6.62,30.46,0,35.76,2.65,0
12011020414,2.3,52.81,25.26,6.89,218.14,6.89,192.88,20.67,2.3
12011020415,2.29,55.07,9.18,6.88,206.52,9.18,160.62,18.36,2.29
12011020501,0,20.82,8.67,1.73,39.9,0,46.84,5.2,0
12011020502,0,16.36,4.09,8.18,44.98,1.36,44.98,6.81,0
12011030100,4.35,21.75,2.18,6.53,78.31,2.18,91.36,8.7,6.53
12011030201,2.37,11.84,21.31,4.74,78.14,2.37,75.78,2.37,0
12011030202,6.22,55.97,12.44,12.44,93.28,0,37.31,18.66,0
12011030203,0,10.88,4.35,2.18,47.87,0,80.5,2.18,0
12011030301,0,6.2,3.1,0,40.32,0,31.02,6.2,0
12011030302,0,33.71,9.3,3.49,72.08,8.14,72.08,3.49,0
12011030401,2.62,52.44,15.73,5.24,104.88,2.62,62.93,10.49,5.24
12011030402,0,23.76,23.76,5.28,63.36,0,81.84,5.28,0
12011030500,1.84,11.02,12.86,1.84,33.06,0,53.26,11.02,1.84
12011030600,1.2,14.38,7.19,3.59,64.69,0,56.31,5.99,1.2
12011030702,0,14.65,2.93,5.86,49.81,0,76.18,0,0
12011030703,0,53.28,13.9,13.9,136.67,4.63,113.5,13.9,4.63
12011030704,1.96,129.54,5.89,5.89,270.85,7.85,141.32,17.66,5.89
12011030705,6.96,125.23,23.19,13.91,391.93,11.6,250.46,18.55,2.32
12011030801,0,49.56,11.26,3.38,145.29,3.38,83.34,9.01,2.25
12011030802,1.49,83.41,11.92,10.43,212.99,2.98,150.43,16.38,1.49
12011030902,6.62,36.39,6.62,6.62,109.16,0,86.01,3.31,0
12011030903,0,16.65,2.38,2.38,64.22,0,47.57,4.76,0
12011030904,4.49,40.4,8.98,6.73,96.52,2.24,107.74,8.98,0
12011031001,8.6,34.41,12.9,21.51,133.33,0,107.53,12.9,4.3
12011031002,0,34.55,13.82,0,89.82,4.61,115.15,6.91,0
12011031101,8.63,30.21,0,4.32,125.16,0,125.16,0,4.32
12011031102,0,49.22,3.08,0,135.34,0,116.89,0,0
12011031202,1.67,66.89,15.05,6.69,207.36,10.03,180.6,10.03,5.02
12011031203,0,101.83,10.18,20.37,325.87,10.18,295.32,20.37,0
12011031204,3.7,51.83,18.51,11.11,155.5,7.4,144.39,25.92,0
12011031205,6.56,52.49,6.56,6.56,170.6,0,131.23,6.56,0
12011040101,0,46.82,6.69,0,100.33,6.69,200.67,6.69,0
12011040102,3.51,45.65,7.02,10.53,214.19,3.51,175.56,14.04,0
12011040203,0,50.09,0,6.26,187.85,6.26,175.33,6.26,0
12011040204,4.03,44.28,20.13,8.05,201.29,0,157,8.05,0
12011040205,0,32.89,9.14,1.83,96.84,9.14,111.46,1.83,0
12011040206,4.36,39.27,8.73,4.36,205.06,8.73,113.44,4.36,0
12011040300,0,119.94,15.84,4.53,199.14,2.26,165.2,20.37,2.26
12011040401,0,65.08,17.35,13.02,117.14,4.34,143.17,4.34,0
12011040402,3.47,45.15,6.95,0,128.52,6.95,111.15,0,3.47
12011040502,3.34,30.02,16.68,13.34,170.11,0,160.11,6.67,0
12011040503,4.79,57.5,19.17,4.79,244.37,19.17,177.29,9.58,4.79
12011040504,6.64,79.63,19.91,13.27,291.97,3.32,298.61,16.59,6.64
12011040601,0,34.71,5.79,2.89,161.99,0,133.06,17.36,2.89
12011040602,3.41,30.72,6.83,6.83,119.45,3.41,88.74,6.83,3.41
12011040701,0,24.13,20.1,4.02,96.5,4.02,120.63,4.02,4.02
12011040702,2.31,6.93,13.86,0,80.83,2.31,90.07,6.93,0
12011040801,0,20.99,8.75,7,64.73,0,75.23,7,0
12011040802,0,19.4,8.62,12.94,58.21,2.16,92.71,6.47,2.16
12011040901,1.85,35.09,25.85,5.54,92.34,0,101.57,12.93,0
12011040902,2.59,38.85,15.54,0,113.96,0,113.96,20.72,0
12011041000,0,65.09,14.79,8.88,136.09,0,115.38,14.79,0
12011041100,0,25.16,27.25,4.19,119.5,0,113.21,16.77,0
12011041200,2.13,46.84,29.81,4.26,106.45,0,106.45,8.52,2.13
12011041300,3.5,47.88,23.36,8.17,94.59,1.17,107.44,14.01,4.67
12011041400,0,38.83,8.96,8.96,95.58,5.97,131.42,14.93,0
12011041500,2.53,17.71,25.3,15.18,60.73,2.53,98.68,7.59,0
12011041600,1.6,25.56,6.39,7.99,84.68,1.6,81.48,9.59,3.2
12011041700,0,18.08,20.34,6.78,63.28,2.26,65.54,9.04,0
12011041801,0,26.8,10.72,0,53.59,0,69.67,5.36,0
12011041802,2.95,41.29,11.8,5.9,138.6,2.95,100.27,14.74,0
12011041900,3.15,34.62,0,0,94.43,0,110.17,0,3.15
