GEOID,Diabetes.Mellitus,College.Educated
12011080103,0.00,43.20
12011080200,10.28,34.10
12011080402,11.91,25.30
12011080403,6.11,25.60
12011080405,20.96,21.20
12011080406,10.65,38.00
12011080500,18.00,16.50
12011090101,10.95,39.40
12011090102,0.00,49.40
12011090200,2.44,52.50
12011090301,15.34,20.20
12011090302,14.05,20.40
12011090401,18.50,25.50
12011090403,5.98,24.30
12011090404,11.40,23.00
12011090502,1.43,41.40
12011090503,19.36,64.40
12011090504,17.18,23.90
12011090601,13.20,19.00
12011090602,13.37,16.30
12011090700,4.06,29.40
12011090801,7.26,22.20
12011090802,11.68,28.10
12011090900,15.87,30.20
12011091000,9.56,29.80
12011091100,4.24,7.80
12011091201,5.79,18.90
12011091202,6.80,12.80
12011091300,13.76,20.30
12011091400,6.23,13.00
12011091500,7.14,12.60
12011091600,15.78,27.40
12011091701,2.44,19.00
12011091702,6.66,25.70
12011091801,4.67,20.80
12011091802,14.83,18.10
12011091901,8.13,30.60
12011091902,13.02,20.30
12011092000,0.00,50.90
12011100101,2.65,44.80
12011100103,8.93,36.40
12011100104,7.86,40.50
12011100105,26.96,45.90
12011100201,0.00,17.10
12011100202,7.74,29.90
12011100300,4.23,17.80
12011100400,16.23,16.50
12011100501,0.00,17.40
12011100502,5.65,17.40
12011100600,8.97,13.00
12011100700,20.08,14.40
12011100801,8.21,15.00
12011100802,8.76,17.90
12011110100,8.18,20.60
12011110301,7.85,32.10
12011110302,7.52,42.90
12011110303,4.70,46.40
12011110307,1.69,35.00
12011110308,10.17,36.20
12011110309,15.44,36.40
12011110311,5.83,22.30
12011110312,2.58,25.00
12011110313,6.09,19.70
12011110319,6.22,28.50
12011110320,8.24,22.30
12011110321,5.30,37.00
12011110322,5.21,35.80
12011110323,10.31,15.60
12011110324,2.36,42.60
12011110325,1.75,49.50
12011110326,1.99,35.60
12011110327,2.84,49.90
12011110328,6.14,47.60
12011110330,5.06,41.10
12011110331,3.60,46.00
12011110332,0.00,49.80
12011110333,4.03,44.60
12011110334,38.77,22.30
12011110335,22.94,12.30
12011110336,1.22,32.70
12011110337,0.00,24.70
12011110338,5.06,26.30
12011110339,20.11,31.20
12011110340,5.60,24.80
12011110341,14.45,23.60
12011110342,5.21,32.70
12011110343,3.50,39.70
12011110402,9.71,10.40
12011110403,3.47,20.30
12011110404,4.11,12.80
12011110501,2.71,11.30
12011110502,10.29,15.80
12011110600,5.40,28.00
12013010100,16.93,12.00
12013010200,33.01,8.00
12013010300,16.55,9.60
12015010100,5.91,15.30
12015010200,15.17,13.10
12015010301,44.67,23.20
12015010302,18.21,22.90
12015010401,9.85,47.40
12015010402,8.82,34.30
12015010403,9.95,47.30
