HUC_12,Thermo_Plants,FWWGYR,FWCGYR,TWW_MGAL,TWC_MGAL
102400050102,1.0,1.227933e+11,3627664920.0,336.42,9.938808
071300070402,2.0,1.21714471e+11,4020945120.0,333.464304,11.016288
020200080503,8.0,1.2101686e+11,4465725360.0,331.55304,12.234864
051401010302,6.0,1.20311848e+11,3974608220.0,329.621501,10.889338
080202040608,2.0,1.19961192e+11,3963024000.0,328.6608,10.8576
050302020805,1.0,1.19961192e+11,3963024000.0,328.6608,10.8576
030501011303,16.0,1.19144073e+11,4408760830.0,326.422118,12.078797
102300010305,2.0,1.18115635e+11,3902054400.0,323.60448,10.69056
120301020602,6.0,1.17812399e+11,4359484080.0,322.773696,11.943792
120800050402,12.0,1.1725527e+11,4338868300.0,321.247315,11.88731
030402070105,4.0,1.16270078e+11,3841084800.0,318.54816,10.52352
110902020601,3.0,1.15570295e+11,4276518120.0,316.630944,11.716488
120701020201,2.0,1.15541083e+11,3817001810.0,316.550914,10.457539
121003010301,10.0,1.14687041e+11,4243834560.0,314.211072,11.626944
071401010904,2.0,1.14609077e+11,3786212160.0,313.997472,10.373184
020801070204,3.0,1.14108023e+11,2070338400.0,312.62472,5.67216
071200040104,3.0,1.13977313e+11,3761487940.0,312.266611,10.305446
051201140504,2.0,1.13944677e+11,3764263100.0,312.177197,10.31305
110701050201,6.0,1.1199561e+11,3960781440.0,306.837288,10.851456
101301010701,3.0,1.11799556e+11,3689543810.0,306.300154,10.108339
031403050602,8.0,1.11674717e+11,3716769890.0,305.95813,10.182931
020200060305,9.0,1.11086086e+11,4110586200.0,304.34544,11.26188
080102080801,15.0,1.10420249e+11,4085947820.0,302.521229,11.194378
180500010301,10.0,1.10317986e+11,4161003500.0,302.241058,11.40001
051402011203,6.0,1.09967502e+11,3632873620.0,301.280827,9.953078
180701030201,3.0,1.09527322e+11,4056677160.0,300.074856,11.114184
120302010109,2.0,1.09515341e+11,3617936060.0,300.042029,9.912154
120702040102,6.0,1.09142928e+11,4038682370.0,299.021722,11.064883
102802030405,3.0,1.09044724e+11,3602388820.0,298.752667,9.869558
050902030204,6.0,1.08820602e+11,3467824700.0,298.138637,9.50089
031601090604,3.0,1.07660556e+11,3556661620.0,294.960427,9.744278
020302010301,6.0,1.07011985e+11,3970732800.0,293.18352,10.87872
051100050402,6.0,1.06813543e+11,3370353940.0,292.639843,9.233846
030501020605,6.0,1.06134124e+11,3502766590.0,290.778422,9.596621
031800011102,4.0,1.05188274e+11,3704263240.0,288.187051,10.148666
010900020206,5.0,1.05048807e+11,1259889480.0,287.804952,3.451752
110600060603,2.0,1.05012182e+11,3469170240.0,287.704608,9.504576
120500020409,2.0,1.04809171e+11,3462463580.0,287.148413,9.486202
110702090702,2.0,1.04643071e+11,3456976320.0,286.693344,9.471168
030501050901,12.0,1.04305418e+11,3859677020.0,285.768269,10.574458
070802051504,1.0,1.0416735e+11,3077401140.0,285.39,8.431236
180500010401,6.0,1.03096041e+11,3814925690.0,282.454906,10.451851
111403050304,2.0,1.02982069e+11,3402103680.0,282.142656,9.320832
010900020107,2.0,1.02728621e+11,3051997140.0,281.448276,8.361636
031002060603,9.0,1.02715562e+11,3547743940.0,281.412499,9.719846
070700050104,2.0,1.02612958e+11,3389909760.0,281.131392,9.287424
050100090304,6.0,1.02508816e+11,3559969390.0,280.84607,9.753341
120402040200,16.0,1.02152364e+11,3791530360.0,279.869491,10.387754
