NativeAquaticAtRisk,NativeAqRarityIndexNorm,NativeVulnIndexAquatic,TotalAquaticSpeciesRich,HUC_12
2,0.0,0.0384615384615,55,010200030301
2,0.0,0.0384615384615,55,010200030302
2,0.0,0.0384615384615,55,010200030303
2,0.0,0.0384615384615,56,010200030401
2,0.0,0.0384615384615,56,010200030402
2,0.0,0.0384615384615,54,010200030403
2,0.0,0.0384615384615,55,010200030404
2,0.0,0.0384615384615,55,010200030501
2,0.0,0.0384615384615,55,010200030502
2,0.0,0.0384615384615,58,010200030503
2,0.0,0.0384615384615,55,010200030504
2,0.0,0.0384615384615,56,010200030505
2,0.0,0.0384615384615,55,010200030506
2,0.0,0.0384615384615,55,010200030507
2,0.0,0.0384615384615,58,010200030508
2,0.0,0.0384615384615,58,010200030509
2,0.0,0.0384615384615,55,010200030510
2,0.0,0.0384615384615,56,010200030511
2,0.0,0.0384615384615,58,010200030601
2,0.0,0.0384615384615,55,010200030602
2,0.0,0.0384615384615,55,010200030603
2,0.0,0.0384615384615,55,010200030604
2,0.0,0.0384615384615,55,010200030605
2,0.0,0.0384615384615,55,010200030606
2,0.0,0.0384615384615,55,010200030607
2,0.0,0.0384615384615,58,010200030701
2,0.0,0.0384615384615,58,010200030702
2,0.0,0.0384615384615,58,010200030703
2,0.0,0.0384615384615,58,010200030704
3,0.0,0.0576923076923,61,010200040101
3,0.0,0.0576923076923,61,010200040102
3,0.0,0.0576923076923,61,010200040103
3,0.0,0.0576923076923,61,010200040104
3,0.0,0.0576923076923,61,010200040105
3,0.0,0.0576923076923,62,010200040106
3,0.0,0.0576923076923,62,010200040107
3,0.0,0.0576923076923,62,010200040108
3,0.0,0.0576923076923,62,010200040109
3,0.0,0.0576923076923,62,010200040110
3,0.0,0.0576923076923,61,010200040111
3,0.0,0.0576923076923,62,010200040201
3,0.0,0.0576923076923,62,010200040202
3,0.0,0.0576923076923,62,010200040203
3,0.0,0.0576923076923,62,010200040204
3,0.0,0.0576923076923,62,010200040205
2,0.0,0.0384615384615,57,010200040301
2,0.0,0.0384615384615,57,010200040302
2,0.0,0.0384615384615,57,010200040303
2,0.0,0.0384615384615,57,010200040304
2,0.0,0.0384615384615,58,010200040305
2,0.0,0.0384615384615,57,010200040306
2,0.0,0.0384615384615,57,010200040307
2,0.0,0.0384615384615,57,010200040308
2,0.0,0.0384615384615,57,010200040309
2,0.0,0.0384615384615,58,010200040310
2,0.0,0.0384615384615,58,010200040311
2,0.0,0.0384615384615,58,010200040312
2,0.0,0.0384615384615,57,010200040401
2,0.0,0.0384615384615,57,010200040402
2,0.0,0.0384615384615,57,010200040403
2,0.0,0.0384615384615,57,010200040404
2,0.0,0.0384615384615,57,010200040405
2,0.0,0.0384615384615,57,010200040406
2,0.0,0.0384615384615,57,010200040407
2,0.0,0.0384615384615,57,010200040408
2,0.0,0.0384615384615,57,010200040409
2,0.0,0.0384615384615,58,010200040410
2,0.0,0.0384615384615,57,010200040501
3,0.0,0.0576923076923,62,010200040502
2,0.0,0.0384615384615,58,010200040503
3,0.0,0.0576923076923,62,010200040504
3,0.0,0.0576923076923,62,010200040601
3,0.0,0.0576923076923,62,010200040602
3,0.0,0.0576923076923,61,010200040603
3,0.0,0.0576923076923,63,010200040604
4,0.0,0.0769230769231,72,010200050101
4,0.0,0.0769230769231,72,010200050102
4,0.0,0.0769230769231,69,010200050103
4,0.0,0.0769230769231,72,010200050104
4,0.0,0.0769230769231,72,010200050201
4,0.0,0.0769230769231,72,010200050202
4,0.0,0.0769230769231,72,010200050203
4,0.0,0.0769230769231,72,010200050204
4,0.0,0.0769230769231,72,010200050205
4,0.0,0.0769230769231,72,010200050206
4,0.0,0.0769230769231,72,010200050207
4,0.0,0.0769230769231,72,010200050208
4,0.0,0.0769230769231,72,010200050301
4,0.0,0.0769230769231,72,010200050302
4,0.0,0.0769230769231,72,010200050303
4,0.0,0.0769230769231,71,010200050304
4,0.0,0.0769230769231,76,010200050305
4,0.0,0.0769230769231,72,010200050306
4,0.0,0.0769230769231,77,010200050307
4,0.0,0.0769230769231,72,010200050308
4,0.0,0.0769230769231,77,010200050309
4,0.0,0.0769230769231,72,010200050310
4,0.0,0.0769230769231,77,010200050311
4,0.0,0.0769230769231,73,010200050401
4,0.0,0.0769230769231,73,010200050402
4,0.0,0.0769230769231,73,010200050403
4,0.0,0.0769230769231,73,010200050404
4,0.0,0.0769230769231,73,010200050405
4,0.0,0.0769230769231,72,010200050406
4,0.0,0.0769230769231,73,010200050407
4,0.0,0.0769230769231,73,010200050408
4,0.0,0.0769230769231,73,010200050501
4,0.0,0.0769230769231,73,010200050502
4,0.0,0.0769230769231,72,010200050503
4,0.0,0.0769230769231,73,010200050504
4,0.0,0.0769230769231,73,010200050505
4,0.0,0.0769230769231,73,010200050506
4,0.0,0.0769230769231,73,010200050507
4,0.0,0.0769230769231,73,010200050508
4,0.0,0.0769230769231,73,010200050509
4,0.0,0.0769230769231,73,010200050510
4,0.0,0.0769230769231,73,010200050601
4,0.0,0.0769230769231,73,010200050602
4,0.0,0.0769230769231,73,010200050603
4,0.0,0.0769230769231,73,010200050701
4,0.0,0.0769230769231,73,010200050702
4,0.0,0.0769230769231,73,010200050703
4,0.0,0.0769230769231,73,010200050704
4,0.0,0.0769230769231,73,010200050705
4,0.0,0.0769230769231,73,010200050706
4,0.0,0.0769230769231,73,010200050707
4,0.0,0.0769230769231,73,010200050801
4,0.0,0.0769230769231,73,010200050802
4,0.0,0.0769230769231,73,010200050803
4,0.0,0.0769230769231,73,010200050804
4,0.0,0.0769230769231,73,010200050805
4,0.0,0.0769230769231,69,010200050901
4,0.0,0.0769230769231,69,010200050902
3,0.0,0.0576923076923,72,010200050903
3,0.0,0.0576923076923,72,010200050904
3,0.0,0.0576923076923,72,010200050905
3,0.0,0.0576923076923,72,010200050906
3,0.0,0.0576923076923,72,010200051001
3,0.0,0.0576923076923,72,010200051002
3,0.0,0.0576923076923,72,010200051003
2,0.0,0.0384615384615,74,010200051004
2,0.0,0.0384615384615,74,010200051005
2,0.0,0.0384615384615,74,010200051006
3,0.0,0.0576923076923,71,010200051007
2,0.0,0.0384615384615,74,010200051008
2,0.0,0.0384615384615,72,010200051009
2,0.0,0.0384615384615,61,010300010101
2,0.0,0.0384615384615,61,010300010102
2,0.0,0.0384615384615,60,010300010201
2,0.0,0.0384615384615,61,010300010202
2,0.0,0.0384615384615,61,010300010203
2,0.0,0.0384615384615,61,010300010204
2,0.0,0.0384615384615,60,010300010205
2,0.0,0.0384615384615,60,010300010206
2,0.0,0.0384615384615,60,010300010301
2,0.0,0.0384615384615,61,010300010302
2,0.0,0.0384615384615,61,010300010303
2,0.0,0.0384615384615,61,010300010304
2,0.0,0.0384615384615,61,010300010305
2,0.0,0.0384615384615,61,010300010306
2,0.0,0.0384615384615,60,010300010307
2,0.0,0.0384615384615,60,010300010308
2,0.0,0.0384615384615,60,010300010309
2,0.0,0.0384615384615,61,010300010310
2,0.0,0.0384615384615,61,010300010401
2,0.0,0.0384615384615,61,010300010402
2,0.0,0.0384615384615,60,010300010403
2,0.0,0.0384615384615,61,010300010404
2,0.0,0.0384615384615,59,010300010501
2,0.0,0.0384615384615,59,010300010502
2,0.0,0.0384615384615,59,010300010503
2,0.0,0.0384615384615,59,010300010504
2,0.0,0.0384615384615,59,010300010505
2,0.0,0.0384615384615,59,010300010506
2,0.0,0.0384615384615,59,010300010507
2,0.0,0.0384615384615,59,010300010508
2,0.0,0.0384615384615,59,010300010509
2,0.0,0.0384615384615,59,010300010510
2,0.0,0.0384615384615,59,010300010601
2,0.0,0.0384615384615,59,010300010602
2,0.0,0.0384615384615,59,010300010603
2,0.0,0.0384615384615,59,010300010604
2,0.0,0.0384615384615,60,010300010605
2,0.0,0.0384615384615,59,010300010606
2,0.0,0.0384615384615,59,010300010607
2,0.0,0.0384615384615,59,010300010608
2,0.0,0.0384615384615,59,010300010609
2,0.0,0.0384615384615,59,010300010610
2,0.0,0.0384615384615,54,010300020101
2,0.0,0.0384615384615,54,010300020102
2,0.0,0.0384615384615,54,010300020103
2,0.0,0.0384615384615,54,010300020104
2,0.0,0.0384615384615,54,010300020105
2,0.0,0.0384615384615,54,010300020106
2,0.0,0.0384615384615,54,010300020201
2,0.0,0.0384615384615,54,010300020202
2,0.0,0.0384615384615,54,010300020203
2,0.0,0.0384615384615,54,010300020204
2,0.0,0.0384615384615,54,010300020301
2,0.0,0.0384615384615,54,010300020302
2,0.0,0.0384615384615,54,010300020303
2,0.0,0.0384615384615,54,010300020304
2,0.0,0.0384615384615,54,010300020401
2,0.0,0.0384615384615,54,010300020402
2,0.0,0.0384615384615,54,010300020403
2,0.0,0.0384615384615,54,010300020404
2,0.0,0.0384615384615,54,010300020405
2,0.0,0.0384615384615,54,010300020406
2,0.0,0.0384615384615,54,010300020501
2,0.0,0.0384615384615,54,010300020502
2,0.0,0.0384615384615,54,010300020503
2,0.0,0.0384615384615,54,010300020504
2,0.0,0.0384615384615,54,010300020505
2,0.0,0.0384615384615,54,010300020506
4,0.0,0.0769230769231,71,010300030101
4,0.0,0.0769230769231,71,010300030102
4,0.0,0.0769230769231,71,010300030103
4,0.0,0.0769230769231,71,010300030104
4,0.0,0.0769230769231,72,010300030105
4,0.0,0.0769230769231,71,010300030106
4,0.0,0.0769230769231,71,010300030201
4,0.0,0.0769230769231,72,010300030202
4,0.0,0.0769230769231,71,010300030203
4,0.0,0.0769230769231,72,010300030301
4,0.0,0.0769230769231,72,010300030302
4,0.0,0.0769230769231,72,010300030303
4,0.0,0.0769230769231,72,010300030304
4,0.0,0.0769230769231,71,010300030401
4,0.0,0.0769230769231,71,010300030402
4,0.0,0.0769230769231,71,010300030501
4,0.0,0.0769230769231,71,010300030502
4,0.0,0.0769230769231,72,010300030503
4,0.0,0.0769230769231,72,010300030601
4,0.0,0.0769230769231,72,010300030602
4,0.0,0.0769230769231,71,010300030701
4,0.0,0.0769230769231,71,010300030702
4,0.0,0.0769230769231,72,010300030703
4,0.0,0.0769230769231,72,010300030801
4,0.0,0.0769230769231,72,010300030802
4,0.0,0.0769230769231,72,010300030803
4,0.0,0.0769230769231,72,010300030804
4,0.0,0.0769230769231,72,010300030901
4,0.0,0.0769230769231,72,010300030902
4,0.0,0.0769230769231,71,010300030903
4,0.0,0.0769230769231,72,010300030904
4,0.0,0.0769230769231,72,010300030905
4,0.0,0.0769230769231,72,010300031001
4,0.0,0.0769230769231,72,010300031002
4,0.0,0.0769230769231,72,010300031003
4,0.0,0.0769230769231,72,010300031004
4,0.0,0.0769230769231,72,010300031101
4,0.0,0.0769230769231,72,010300031102
4,0.0,0.0769230769231,72,010300031103
4,0.0,0.0769230769231,72,010300031201
4,0.0,0.0769230769231,72,010300031202
4,0.0,0.0769230769231,72,010300031203
4,0.0,0.0769230769231,72,010300031204
4,0.0,0.0769230769231,72,010300031205
4,0.0,0.0769230769231,72,010300031206
