HUC_12,PAGHYD80
010300030202,0.110000018757
010300030203,0.229999975656
010300030301,0.759999953174
010300030302,0.750000007994
010300030303,0.599999968584
010300030304,0.930000047093
010300030401,4.12480511457e-10
010300030402,0.0100000204792
010300030501,2.5592939426e-08
010300030502,0.149999997296
010300030503,0.289999957914
010300030601,0.340000005586
010300030602,0.249999994006
010300030701,3.69758221683e-10
010300030702,0.0800000086589
010300030703,0.409999968132
010300030801,0.700000062268
010300030802,0.0500000473423
010300030803,1.21999990489
010300030804,2.24999977404
010300030901,0.0600000021777
010300030902,0.0400000028753
010300030903,0.0100000107726
010300030904,0.179999989632
010300030905,0.140000090275
010300031001,0.240000000133
010300031002,0.460000065704
010300031003,0.620000017766
010300031004,1.09999976706
010300031101,0.350000017864
010300031102,0.530000038996
010300031103,1.05999994614
010300031201,0.580000127143
010300031202,0.470000078248
010300031203,1.42999995678
010300031204,1.34000007165
010300031205,1.60000010044
010300031206,1.819999857
010300031301,2.17999996764
010300031302,3.06999969821
010300031401,0.580000062785
010300031402,0.490000024471
010300031403,1.53000005962
010300031404,2.58999995659
010300031405,3.68999978191
010300031501,3.83000001474
010300031502,1.14000017267
010300031503,2.17999995181
010300031504,1.98000031222
010300031505,6.88000004201
010300031506,1.31000117387
010300031507,9.64999736831
010300031601,1.35000007077
010300031602,0.430000023483
010300031603,0.280000006303
010300031604,0.570000019523
010300031605,0.600000010866
010300031606,0.480000021083
010300031701,1.64999984964
010300031702,2.68999999198
010300031801,0.410000257537
010300031802,2.25999979373
010300031803,1.00000015252
010300031804,2.08000002509
010300031805,0.720000237259
010300031806,0.880000119295
010300031901,0.510000138689
010300031902,1.44999979911
010300031903,2.57999968401
010300031904,3.15999997542
010300032001,1.00000038969
010300032002,0.840000064571
010300032003,1.43999993426
010300032004,1.23000001296
010300032005,2.08000108422
010300032101,1.62000002708
010300032102,10.4299997574
010300032103,1.45000025392
010300032104,1.88999986036
010300032105,3.23999989883
010300032106,6.08999960745
010300032201,2.43999975048
010300032202,0.300000128357
010300032203,0.330000121108
010300032204,1.61999997298
010300032205,2.92000053961
010300032301,0.840000026256
010300032302,0.6100004415
010300032303,1.34000005658
010300032304,3.71999973254
010300032305,1.16000006826
010300032306,0.650000897571
010300032307,4.97999943972
010300032308,1.0900004288
010300032309,1.99000007564
010300032401,1.85000013353
010300032402,0.690000182319
010300032403,2.92999989332
010300032404,2.40999999566
010300032405,1.66000007542
010300032406,0.390000609176
010300032407,3.15999985256
010300032408,2.83999979178
010300032409,2.3600000569
010400010101,0.0
010400010102,0.0
010400010103,6.37320306736e-10
010400010104,4.21365052133e-09
010400010105,1.62741334467e-09
010400010106,0.0
010400010107,0.0199999943356
010400010108,0.0
010400010109,8.82191750799e-10
010400010110,4.22916118976e-09
010400010201,0.0300000252728
010400010202,0.0300000014333
010400010203,0.0399999954662
010400010301,0.0
010400010302,0.0
010400010303,0.0
010400010304,0.00999999896043
010400010305,3.85587575142e-09
010400010306,0.079999960061
010400010401,4.14022335307e-09
010400010402,0.020000000039
010400010403,0.0300000760188
010400010404,8.67580964486e-09
010400010405,1.55805817056e-08
010400010406,0.0100000099831
010400010501,2.27795613298e-08
010400010502,0.089999993136
010400010601,2.90765839352e-08
010400010602,0.089999991787
010400010603,0.0100000103598
010400010604,0.229999992946
010400010605,0.010000004457
010400010606,0.249999951494
010400010607,0.0400000233899
010400020101,0.0100000019684
010400020102,0.0499999951144
010400020103,0.0700000223827
010400020201,6.43986656065e-08
010400020202,1.00999999315
010400020203,0.679999981526
010400020204,1.249999985
010400020205,0.0799999996713
010400020206,8.53096037101e-08
010400020207,1.48999999664
010400020301,0.0200000027687
010400020302,1.39110062674e-08
010400020303,0.429999958144
010400020304,0.160000011978
010400020305,1.11999993114
