HUC_12,MB_Demand
010100070504,1.53041482065
010100070505,4.43339696247
010100070506,3.97889322694
010100070507,11.6391599737
010100070601,0.510009033605
010100070602,1.01455151848
010100070603,2.95652743801
010100070604,2.27517644316
010100070605,4.92998651322
010100070606,4.19169309828
010100070607,15.8190087061
010100070701,4.14053777419
010100070702,4.68467969261
010100070703,9.34352377616
010100080101,17.4144604206
010100080102,27.319285389
010100080401,0.739666967653
010100080403,10.0114370566
010100080404,4.34262721986
010100080405,5.2110170126
010100080406,7.3699232731
010100080407,12.8417972196
010100080408,4.11275981367
010100080503,17.6783559918
010100080504,7.53902735189
010100081107,16.0263182446
010100081108,17.4912907034
010100090601,31.9007790275
010100090603,50.4585301206
010100090604,8.39256017655
010100090605,22.9705014527
010100090607,19.8994252756
010100090608,4.23797340691
010100100101,11.4481971785
010100100102,6.20678246021
010100100201,29.7318488285
010100100202,28.0090529248
010100100203,14.1835466921
010100100204,18.5535675138
010100100205,27.447620444
010100100206,12.393867068
010100100207,1.0888579376
010100110103,9.18868298829
010200010101,0.850443898002
010200010102,0.919229531661
010200010103,1.90995790111
010200010104,2.88607195532
010200010105,1.55021238513
010200010106,9.67279751552
010200010201,5.36682639085
010200010202,1.40001092106
010200010203,1.53171662893
010200010204,5.71692706551
010200010205,3.19805757608
010200010206,3.40774830338
010200010207,5.01937221643
010200010208,1.67127041332
010200010209,2.86887252796
010200010210,10.0117375329
010200010301,5.16338398494
010200010302,11.5617738059
010200010303,6.9077269882
010200010304,5.07681351528
010200010305,13.8218123615
010200010306,4.65408936888
010200010307,13.4046776444
010200010308,22.4059680607
010200010401,8.17796254158
010200010402,3.72730890475
010200010403,4.99597494537
010200010404,6.14632084826
010200010501,7.88851101976
010200010502,4.73075570352
010200010503,6.8981815502
010200010504,4.13883740827
010200010505,17.6309122723
010200010506,10.5154489428
010200010507,12.9263309781
010200010508,7.64056013152
010200010509,54.9459066223
010200010601,4.23231833428
010200010602,18.5325087421
010200010701,5.02907260135
010200010702,28.2181547768
010200010703,14.1695613302
010200010704,8.84325910732
010200010801,20.482182309
010200010802,8.17789800838
010200010803,11.250227768
010200010804,8.33551933616
010200010805,14.5544880219
010200010901,6.78822781146
010200010902,5.7933257632
010200010903,13.8692526631
010200010904,33.9436792023
010200010905,68.0357085653
010200010906,17.3145185262
010200010907,15.5191150084
010200011001,6.45849780366
010200011002,22.2654612549
010200011003,11.5444039777
010200011004,27.1068134047
010200011005,20.6647541858
010200011006,12.9407585301
010200011007,35.0955626518
010200020101,1.56026956998
010200020102,6.7210254427
010200020103,3.49852625467
010200020104,3.52123136539
010200020105,14.4624008825
010200020106,11.0179582424
010200020107,5.62440978549
010200020108,5.57080590352
010200020201,7.55223397166
010200020202,6.64027647488
010200020203,3.65352178738
010200020204,24.2406343743
010200020205,17.696183119
010200020301,7.69466802292
010200020302,8.29061607085
010200020303,6.59483490512
010200020304,11.7058808655
010200020401,18.9314551502
010200020402,18.7552624196
010200020403,6.17376864329
010200020404,4.86558140814
010200020405,12.4374669529
010200020406,12.3010954
010200020407,14.810760159
010200020408,25.9559980966
010200020501,8.65071580932
010200020502,38.8871739004
010200020503,10.789345298
010200020504,16.318917837
010200020505,18.0584339425
010200020506,10.0466042049
010200020507,39.3510886431
010200030101,12.9766192511
010200030102,8.14829913527
010200030103,11.5791790225
010200030104,12.5420504697
010200030105,14.8505743369
010200030106,12.8565301262
010200030107,30.6264180206
010200030108,15.7997724824
010200030109,20.2671549022
010200030110,14.0566754118
010200030111,11.8403664827
010200030112,18.9220806733
010200030113,11.6261314005
010200030201,25.3757364415
