HUC_12,AWDBYHUC,AWD_MGAL
010500030303,0,0.0
010500030304,0,0.0
010500030305,0,0.0
010500030306,0,0.0
010500030307,0,0.0
010500030401,0,0.0
010500030402,0,0.0
010500030403,2016,0.002016
010500030404,168,0.000168
010500030405,0,0.0
010500030406,0,0.0
010500030501,0,0.0
010500030502,0,0.0
010500030503,0,0.0
010500030504,0,0.0
010500030601,0,0.0
010500030602,0,0.0
010500030603,0,0.0
010500030604,0,0.0
010500030605,0,0.0
010500030606,0,0.0
010500040203,1924,0.001924
010500040204,2812,0.002812
010500040401,9324,0.009324
010500040402,14652,0.014652
010500040403,0,0.0
010500040404,30969,0.030969
010500040501,6734,0.006734
010500040502,0,0.0
010500040601,925,0.000925
010500040602,111,0.000111
010500040603,0,0.0
010500040604,0,0.0
010500040605,0,0.0
010500040606,1739,0.001739
010500040701,0,0.0
010500040702,0,0.0
010500040901,0,0.0
010500040902,222,0.000222
010500040903,0,0.0
010500040904,0,0.0
010600010101,0,0.0
010600010102,0,0.0
010600010103,0,0.0
010600010104,0,0.0
010600010105,0,0.0
010600010106,0,0.0
010600010107,0,0.0
010600010108,0,0.0
010600010109,0,0.0
010600010110,0,0.0
010600010201,0,0.0
010600010202,0,0.0
010600010203,0,0.0
010600010204,0,0.0
010600010205,0,0.0
010600010206,0,0.0
010600010301,5977,0.005977
010600010302,1390,0.00139
010600010303,0,0.0
010600010304,10425,0.010425
010600010305,0,0.0
010600010306,695,0.000695
010600010401,0,0.0
010600010402,0,0.0
010600010501,0,0.0
010600010502,0,0.0
010600010503,0,0.0
010600010504,0,0.0
010600010505,0,0.0
010600010506,0,0.0
010600010507,0,0.0
010600010601,0,0.0
010600010602,0,0.0
010600010603,0,0.0
010600010606,0,0.0
010600010607,0,0.0
010600020101,0,0.0
010600020102,0,0.0
010600020103,0,0.0
010600020104,0,0.0
010600020105,0,0.0
010600020106,0,0.0
010600020201,0,0.0
010600020202,0,0.0
010600020203,0,0.0
010600020204,0,0.0
010600020301,0,0.0
010600020302,10502,0.010502
010600020303,0,0.0
010600020304,0,0.0
010600020401,0,0.0
010600020402,0,0.0
010600020403,0,0.0
010600020404,0,0.0
010600020405,0,0.0
010600020406,0,0.0
010600020501,0,0.0
010600020502,168,0.000168
010600020503,0,0.0
010600020504,0,0.0
010600020601,0,0.0
010600020602,0,0.0
010600020603,0,0.0
010600020604,0,0.0
010600020605,0,0.0
010600020701,0,0.0
010600020702,0,0.0
010600020703,0,0.0
010600020801,0,0.0
010600020802,0,0.0
010600020803,0,0.0
010600020804,0,0.0
010600020901,0,0.0
010600020902,0,0.0
010600020903,0,0.0
010600020904,0,0.0
010600021001,0,0.0
010600021002,0,0.0
010600021003,0,0.0
010600021004,372,0.000372
010600021005,0,0.0
010600021006,0,0.0
010600021007,0,0.0
010600021101,0,0.0
010600021102,837,0.000837
010600021103,0,0.0
010600021104,0,0.0
010600021105,0,0.0
010600021106,0,0.0
010600030101,2232,0.002232
010600030102,186,0.000186
010600030103,0,0.0
010600030104,0,0.0
010600030201,0,0.0
010600030202,0,0.0
010600030203,0,0.0
010600030204,0,0.0
010600030205,0,0.0
010600030206,0,0.0
010600030207,0,0.0
010600030301,0,0.0
010600030302,0,0.0
010600030303,0,0.0
010600030401,0,0.0
010600030402,0,0.0
010600030501,0,0.0
010600030502,0,0.0
010600030503,0,0.0
010600030504,0,0.0
010600030505,0,0.0
010600030506,2325,0.002325
010600030507,0,0.0
010600030601,0,0.0
010600030602,0,0.0
010600030603,1196,0.001196
010600030604,0,0.0
010600030605,0,0.0
010600030606,0,0.0
010600030607,0,0.0
010600030608,0,0.0
010600030701,0,0.0
010600030702,0,0.0
010600030703,0,0.0
010600030704,0,0.0
010600030705,0,0.0
010600030706,0,0.0
010600030707,0,0.0
010600030708,0,0.0
010600030709,0,0.0
010600030801,0,0.0
010600030802,0,0.0
010600030803,0,0.0
010600030804,0,0.0
010600030805,0,0.0
010600030806,0,0.0
010600030901,0,0.0
010600030902,0,0.0
010600030903,0,0.0
010600030904,0,0.0
010600031001,0,0.0
010600031002,0,0.0
010600031003,0,0.0
010600031004,0,0.0
010600031005,0,0.0
010600031101,1395,0.001395
010600031102,0,0.0
010600031103,372,0.000372
010600031104,465,0.000465
010600031105,0,0.0
010600031106,0,0.0
010700010101,0,0.0
010700010102,0,0.0
010700010103,0,0.0
010700010104,0,0.0
010700010201,0,0.0
010700010202,0,0.0
010700010203,0,0.0
010700010204,0,0.0
010700010205,0,0.0
010700010206,0,0.0
010700010301,0,0.0
010700010302,0,0.0
010700010303,0,0.0
010700010304,0,0.0
010700010305,0,0.0
010700010306,0,0.0
010700010307,0,0.0
010700010401,0,0.0
010700010402,0,0.0
010700010403,0,0.0
010700010404,0,0.0
010700010501,0,0.0
010700010502,0,0.0
010700010601,0,0.0
010700010602,0,0.0
010700010603,0,0.0
010700010701,0,0.0
010700010702,91,9.1e-05
010700010801,0,0.0
010700010802,0,0.0
010700010803,0,0.0
010700010804,0,0.0
010700020101,0,0.0
010700020102,0,0.0
010700020103,0,0.0
010700020104,0,0.0
