HUC_12,MeanPrecip
010200030502,43.9649009705
010200030503,45.698600769
010200030504,44.0
010200030505,44.0488014221
010200030506,44.0
010200030507,44.0
010200030508,44.8905982971
010200030509,45.0
010200030510,44.5102005005
010200030511,44.2195014954
010200030601,44.2615013123
010200030602,44.0469017029
010200030603,44.0
010200030604,44.0
010200030605,44.0
010200030606,44.0
010200030607,44.1538009644
010200030701,46.0
010200030702,45.8911018372
010200030703,45.6393013
010200030704,45.1040000916
010200040101,46.5
010200040102,49.8478012085
010200040103,49.226398468
010200040104,47.1428985596
010200040105,49.0317001343
010200040106,46.2352981567
010200040107,48.9891014099
010200040108,48.1351013184
010200040109,46.1333007812
010200040110,47.0956993103
010200040111,47.5614013672
010200040201,45.9860992432
010200040202,45.0587997437
010200040203,45.7691993713
010200040204,44.0744018555
010200040205,44.2993011475
010200040301,48.5
010200040302,46.5149002075
010200040303,47.8779983521
010200040304,48.0469017029
010200040305,45.5069999695
010200040306,45.6666984558
010200040307,49.2430992126
010200040308,46.584400177
010200040309,45.7755012512
010200040310,46.0968017578
010200040311,45.853099823
010200040312,44.3471984863
010200040401,51.6147994995
010200040402,51.6456985474
010200040403,50.2142982483
010200040404,48.4533004761
010200040405,45.623500824
010200040406,52.6666984558
010200040407,49.9341011047
010200040408,46.8333015442
010200040409,45.6856002808
010200040410,44.3737983704
010200040501,44.0339012146
010200040502,43.7212982178
010200040503,44.0447998047
010200040504,44.795501709
010200040601,43.7515983582
010200040602,44.0074996948
010200040603,44.0
010200040604,44.7249984741
010200050101,43.3566017151
010200050102,43.0149002075
010200050103,44.0507011414
010200050104,43.7872009277
010200050201,44.8403015137
010200050202,45.1110992432
010200050203,44.0136985779
010200050204,43.6907997131
010200050205,45.0396003723
010200050206,43.9379997253
010200050207,44.0806007385
010200050208,45.0
010200050301,45.9990539551
010200050302,45.3738098145
010200050303,45.1972808838
010200050304,45.0
010200050305,45.3791007996
010200050306,45.2467002869
010200050307,45.0
010200050308,45.0
010200050309,44.4791984558
010200050310,45.0
010200050311,44.7878990173
010200050401,44.9882011414
010200050402,44.1635017395
010200050403,44.9463996887
010200050404,44.6348991394
010200050405,43.7015991211
010200050406,43.6119003296
010200050407,43.0
010200050408,43.6465988159
010200050501,44.1758003235
010200050502,43.4023017883
010200050503,43.9636001587
010200050504,43.8320999146
010200050505,44.0
010200050506,43.7526016235
010200050507,42.532699585
010200050508,43.7058982849
010200050509,42.938999176
010200050510,42.4211006165
010200050601,43.1307983398
010200050602,43.1049003601
010200050603,42.2913017273
010200050701,44.0125007629
010200050702,44.0999984741
010200050703,44.4297981262
010200050704,43.7104988098
010200050705,43.0526008606
010200050706,43.6412010193
010200050707,42.9762001038
010200050801,43.9900016785
010200050802,44.0
010200050803,43.7927017212
010200050804,43.3983001709
010200050805,43.0
010200050901,46.2341995239
010200050902,45.1461982727
010200050903,45.6133003235
010200050904,44.7221984863
010200050905,46.5872993469
010200050906,45.9654998779
010200051001,42.7962989807
010200051002,43.440700531
010200051003,42.7192993164
010200051004,44.3266983032
010200051005,47.6492996216
010200051006,45.951499939
010200051007,43.9500007629
010200051008,45.0167007446
010200051009,46.9821014404
