HUC_12,Fertilizer_P_kg_ha
010300032406,0.0262760754606
010300032407,0.242757273591
010300032408,0.319477671249
010300032409,0.574514172467
010400010101,0.0
010400010102,0.0
010400010103,0.0
010400010104,0.0
010400010105,0.0
010400010106,0.0
010400010107,0.000160374244351
010400010108,0.0
010400010109,0.0
010400010110,0.0
010400010201,0.0
010400010202,0.0
010400010203,0.0
010400010301,0.0
010400010302,0.0
010400010303,0.0
010400010304,0.0
010400010305,0.0
010400010306,0.0
010400010401,0.0
010400010402,0.0
010400010403,0.0
010400010404,0.0
010400010405,0.0
010400010406,0.00139479821448
010400010501,0.0
010400010502,0.0117125438964
010400010601,0.0
010400010602,0.0
010400010603,0.00203389918749
010400010604,0.0214375988087
010400010605,0.00339155898044
010400010606,0.0279959316716
010400010607,0.00399745677365
010400020101,0.00161436798092
010400020102,0.00308048696852
010400020103,0.0173152428967
010400020201,0.0
010400020202,0.0452906495154
010400020203,0.0490408874831
010400020204,0.0410847219897
010400020205,0.0116873687256
010400020206,0.00937124961668
010400020207,0.145819585029
010400020301,0.000576044679068
010400020302,0.00108774017968
010400020303,0.0272022943939
010400020304,0.0293436382948
010400020305,0.0894101977758
010400020401,0.0409603620221
010400020402,0.0
010400020403,0.000681974005008
010400020404,0.0389865147205
010400020405,0.0435020459648
010400020406,0.08598891986
010400020501,0.013909317187
010400020502,0.0372157916235
010400020503,0.0542727774881
010400020504,0.0782492049409
010400020505,0.0948334179527
010400020601,0.155764078272
010400020602,0.317141686538
010400020603,0.127901541196
010400020604,0.126788267035
010400020605,0.380065341086
010400020606,0.484624805925
010400020701,0.0809180013504
010400020702,0.0700731757609
010400020703,0.293016537198
010400020704,0.572162118835
010400020801,0.294057169032
010400020802,0.261872683345
010400020803,0.33343561566
010400020901,0.0378444676557
010400020902,0.109734239081
010400020903,0.172506956073
010400020904,0.138478717029
010400020905,0.103990003625
010400020906,0.155030864308
010400020907,0.255168589003
010400020908,0.179606415657
010400020909,0.165255540263
010400020910,0.439127877397
010400021001,0.448546426957
010400021002,0.586847128479
010400021003,0.642936462626
010400021004,1.22350217211
010400021005,0.485837863553
010400021006,0.774671621085
010400021007,0.243330079421
010500010101,0.538684408849
010500010102,0.200088298425
010500010207,0.00742224682337
010500010301,0.00328362914699
010500010302,0.0
010500010303,0.0215705103025
010500010304,0.0
010500010305,0.0
010500010306,0.00291963929318
010500010307,0.000701525037532
010500010401,0.0040026983275
010500010402,0.0262349920427
010500010403,0.0
010500010404,0.0
010500010501,0.0
010500010502,0.0
010500010503,0.0030796367394
010500010504,0.104110102996
010500010505,0.0
010500010506,0.0
010500010601,0.00920329225198
010500010602,0.00192157569324
010500010603,0.0244932242397
010500010604,0.0183299836937
010500010605,0.00870954657713
010500010606,0.0526904529893
010500010701,0.0
010500010702,0.0
010500010705,0.0
010500010706,0.0
010500010707,0.0
010500010708,0.0
010500010801,0.0852171561198
010500010802,0.0520081463362
010500010804,0.0396027447065
010500010806,0.0451357801979
010500010809,0.22337965196
010500010810,0.127831174036
010500020101,0.0919368378868
010500020102,0.0771658794527
010500020103,0.237029809824
010500020104,0.0518974729049
010500020201,0.0934635487868
010500020202,0.0283999330508
010500020203,0.0650754210718
010500020204,0.023378362471
010500020205,0.268722215735
010500020301,0.00287841489367
010500020302,0.00774986388888
010500020401,0.00221393489478
010500020402,0.0387874399872
010500020403,0.0105758295996
010500020501,0.013662217614
010500020502,0.097255471801
010500020503,0.172169256768
010500020601,0.527021286504
010500020602,0.714238066618
010500020603,0.268576250382
010500020604,0.0724909190313
010500020701,0.0405017121007
010500020702,0.0
010500020703,0.0
010500020801,0.189774516625
010500020802,0.144695523387
010500020803,0.209821864349
010500020804,0.0
010500020805,0.0
010500020901,0.0137067698287
010500020902,1.05819495433
010500020903,1.06852857381
010500020904,0.261946916324
010500020905,0.191655712585
010500020906,0.977297165664
010500020907,0.0
010500020908,0.0
010500021001,0.00491411214881
010500021002,1.08923246712
010500021003,0.00372306293404
010500021004,0.135208789844
010500021005,0.519353877199
010500021006,0.0
010500021007,0.0
010500021008,0.0
010500021101,0.0
010500021102,0.050174869279
010500021103,0.064863116873
010500021105,0.0
010500021106,0.0283038206163
010500021107,0.0
010500021108,0.0
010500021109,0.0
010500021111,0.0
010500021201,0.0
010500021202,0.00118742224492
010500021203,0.0
010500021204,0.283087252209
010500021205,0.0551104420936
010500021206,0.0
010500021207,0.000698374153448
010500021208,0.0943810979534
010500021209,0.0363594909604
010500021210,0.0921464886955
010500021211,0.0202757926746
010500021212,0.0320189755867
010500021213,0.0309666880011
010500021214,0.0497069959192
010500021215,0.077315731139
010500021301,0.0789341154311
010500021302,0.170004618549
010500021303,0.126548814958
010500021304,0.111176363881
010500021401,0.0396126934159
010500021402,0.0489473131854
010500021403,0.00148474262785
010500021404,0.0256167929895
010500021405,0.129442520007
010500021406,0.33217584476
010500021407,0.0
010500021408,0.033939235847
010500021409,0.0
010500021410,0.000674233417461
010500021501,0.0
010500021502,0.0
010500021503,0.0
010500021504,0.146585536079
010500021505,0.376672678643
010500021506,0.179554373852
010500021507,0.204119162496
010500021508,0.0
010500021509,0.000592253148886
010500021601,0.212346409707
010500021602,0.366112977657
010500021701,0.259341725706
010500021703,0.0
010500021801,0.290095094262
010500021802,0.128624744904
010500021803,0.113313057159
010500021901,0.165850726449
010500021902,0.265901118364
010500021903,0.135320330454
010500021904,0.164208276731
010500021905,0.213515090991
010500021906,0.284992611195
010500021907,0.0953911041911
010500021908,0.0
010500021909,0.00011834082865
010500030101,0.0857038224529
010500030102,0.159894463928
010500030103,0.265487068812
010500030104,0.281097399427
010500030105,0.122780640401
010500030106,0.291868591409
010500030107,0.190572101133
010500030201,0.180358655578
010500030202,0.171518356688
010500030203,0.213888509451
010500030204,0.0250794439911
010500030205,0.0
010500030206,0.0
010500030301,0.0664332986504
010500030302,0.192422032074
010500030303,0.0232198409951
010500030304,0.0941715017428
010500030305,0.0111574703053
010500030306,0.0
010500030307,0.0
010500030401,0.0974112575843
010500030402,0.330915305538
010500030403,0.148352913818
010500030404,0.18381586894
010500030405,0.109028580126
010500030406,0.293642072196
010500030501,0.162668606484
010500030502,0.0485887121734
010500030503,0.117205647569
010500030504,0.0
010500030601,1.71515365774
010500030602,0.262277884124
010500030603,0.106451287657
010500030604,0.0062958900217
010500040203,0.163070746301
010500040204,0.271878161146
010500040401,0.202155163785
010500040402,0.185886094741
010500040403,0.0452507862498
010500040404,0.266875904447
010500040501,0.155893278058
010500040502,0.0665956122366
010500040601,0.0262513207693
010500040602,0.0516395693946
010500040603,0.0555810338302
010500040604,0.0196108523733
010500040605,0.0412813246812
010500040606,0.107555216986
010500040702,0.0
010500040901,0.0810382144386
010500040902,0.130787317922
010500040903,0.0
010500040904,0.0
010600010101,0.0235699820197
010600010102,0.0699274904656
010600010103,0.128230285554
010600010104,0.056240097979
010600010105,0.126018683174
010600010106,0.0975550279135
010600010107,0.0637481808034
010600010108,0.0810954014095
010600010109,0.0201881507082
010600010110,0.0199078729915
010600010201,0.342171395679
010600010202,0.240612150947
010600010203,0.319402653526
010600010204,0.355016723052
010600010205,0.368983464223
010600010206,0.308792236793
010600010301,0.1763496007
010600010302,0.487631726075
010600010303,0.552318148525
010600010304,0.513724753618
010600010305,0.284696540981
010600010306,0.0700789787038
010600010401,0.404068541852
010600010402,0.110955514068
010600010501,0.227966220104
010600010502,0.034264353999
010600010503,0.155447552702
010600010504,0.0261518141954
010600010505,0.118192073757
010600010506,0.0
010600010507,0.0
010600010601,0.228183381786
010600010602,0.138316059675
010600010603,0.131383977104
010600010606,0.0
010600010607,0.000190611856346
010600020101,0.0013055667369
010600020102,0.0
010600020103,0.0
010600020104,0.0128767526993
010600020105,0.0076271116812
010600020106,0.0149612467585
010600020201,0.0
010600020202,0.0
010600020203,0.00546697468092
010600020204,0.0155621272462
010600020301,0.00329579571246
010600020302,0.10229928054
010600020303,0.039336850829
010600020304,0.145682051456
010600020401,0.0394155026582
010600020402,0.01449443989
010600020403,0.0489753056336
010600020404,0.524480422483
010600020405,0.0723062040305
010600020406,0.0320885591798
010600020501,0.0573678712224
010600020502,0.0460299467551
010600020503,0.0356517683918
010600020504,0.071675595007
010600020601,0.02012567665
010600020602,0.0247160905482
010600020603,0.026620959674
010600020604,0.011520169017
010600020605,0.0384684003475
010600020701,0.00944624364769
010600020702,0.0211313559821
010600020703,0.0357541100323
010600020801,0.0178631865206
010600020802,0.00105014148104
010600020803,0.0242603857757
010600020804,0.0282767468082
010600020901,0.0875932240109
010600020902,0.0367850203344
010600020903,0.055105385901
010600020904,0.0806667840668
010600021001,0.0377036330359
010600021002,0.0407656203371
010600021003,0.0139800447294
010600021004,0.0954338773131
010600021005,0.0841684840584
010600021006,0.0562324076502
010600021007,0.0725498510972
010600021101,0.0830452121184
010600021102,0.123675110204
010600021103,0.124861854278
010600021104,0.219366198206
010600021105,0.205729580323
010600021106,0.0479117311899
010600030101,0.0817039331575
010600030102,0.144889145985
010600030103,0.0
010600030104,0.0
010600030201,0.0743834243685
010600030202,0.0777023208681
010600030203,0.080910766298
010600030204,0.0800467090552
010600030205,0.0693149100083
010600030206,0.0
010600030207,0.0
010600030301,0.0745347092703
010600030302,0.0
010600030303,0.0
010600030401,0.103490962678
010600030402,0.125048593667
010600030501,0.0516504512774
010600030502,0.0594861039379
010600030503,0.042202081178
010600030504,0.0879006815928
010600030505,0.114012573348
010600030506,0.112070574445
010600030507,0.220687205797
010600030601,0.0729912721525
010600030602,0.240711252261
010600030603,0.14203636272
010600030604,0.0520122446989
010600030605,0.11320586958
010600030606,0.144397813251
010600030607,0.0885459480803
010600030608,0.262024010923
010600030701,0.0638335405952
010600030702,0.0892383117332
010600030703,0.0269186110396
010600030704,0.0826765739082
010600030705,0.0741793713266
010600030706,0.174702181564
010600030707,0.0467985115186
010600030708,0.108748881387
010600030709,0.271236560863
010600030801,0.170128974789
010600030802,0.0908059867075
010600030803,0.194164971509
010600030804,0.190136950461
010600030805,0.312444164471
010600030806,0.190798072447
010600030901,0.150920275984
010600030902,0.197475447825
010600030903,0.183309263287
010600030904,0.151005662343
010600031001,0.117649438352
010600031002,0.0559185512718
010600031003,0.156578552585
010600031005,0.0480078710962
010600031101,0.0623781218397
010600031102,0.0283992779851
010600031103,0.104361958421
010600031104,0.0061547234756
010600031106,0.0
010700010101,0.0
010700010102,0.0
010700010103,0.0
010700010104,0.000898451701752
010700010201,0.000191224222343
010700010202,0.000814215292641
010700010203,0.0104838466536
010700010204,0.00190773540697
010700010205,0.032865399877
010700010206,0.0280523340981
010700010301,0.00261035623718
010700010302,0.0501169807235
010700010303,0.0347368852493
010700010304,0.0182361445921
010700010305,0.00506375117081
010700010306,0.0561575716225
010700010307,0.111659355311
010700010401,0.00343870106884
010700010402,0.0168240614953
010700010403,0.0295987720589
010700010404,0.0768640724585
010700010501,0.0240081056533
010700010502,0.0563817966639
010700010601,0.0329385082881
010700010602,0.0567738106799
010700010603,0.0250502329675
010700010701,0.0391548520624
010700010702,0.0925000777579
010700010801,0.0635053340557
010700010802,0.0730396715178
010700010803,0.0513133867049
010700010804,0.151070683261
010700020101,0.0497407182543
010700020102,0.0376228663654
010700020103,0.039658276709
010700020104,0.0314246671281
010700020105,0.0259879683867
010700020106,0.0123293324171
010700020107,0.0509906850065
010700020108,0.0287272567127
010700020109,0.0554564446687
010700020110,0.0638287612811
010700020201,0.0768183638678
010700020202,0.147283834139
010700030101,0.111730227005
010700030102,0.0691789361576
010700030103,0.0473235308452
010700030104,0.0833873498868
010700030105,0.0950702613905
010700030106,0.0890060272774
010700030107,0.0740138591811
010700030108,0.0922969662516
010700030201,0.0209694839544
010700030202,0.0678471897294
010700030203,0.068663106373
010700030204,0.0353534716544
010700030301,0.102951079207
010700030302,0.109873923792
010700030303,0.229951601908
010700030401,0.0984129832002
010700030402,0.102859521754
010700030403,0.100156029677
010700030404,0.0722000347164
010700030501,0.0686641904767
010700030502,0.098081601901
010700030503,0.0688203626436
010700030504,0.151286018219
010700030601,0.206964168162
010700030602,0.147720633879
010700030603,0.112126518018
010700040101,0.215347010852
010700040102,0.277696228201
010700040103,0.342415168151
010700040201,0.322472997799
010700040202,0.350229740709
010700040203,0.285948052315
010700040204,0.774199741624
010700040205,0.37211369623
010700040301,0.26734443884
010700040302,0.214035172909
010700040401,0.209693261116
010700040402,0.543806523036
010700050101,0.151567775899
010700050102,0.210980059119
010700050103,0.15115609165
010700050104,0.272138325351
010700050201,0.118262865604
010700050202,0.339209679762
010700050203,0.265045190689
010700050204,0.362601973264
010700050205,0.190853037829
010700050206,0.19363241181
010700060101,0.172030360877
010700060102,0.330595815028
010700060201,0.153510392568
010700060202,0.130065685317
010700060301,0.170561868795
010700060302,0.153210028678
010700060401,0.0662794411384
010700060402,0.0628596326415
010700060501,0.2505204748
010700060502,0.15196352571
010700060503,0.144961294495
010700060601,0.113658654215
010700060602,0.147751947988
010700060603,0.137056290204
010700060604,0.0823508271232
010700060605,0.130586533028
010700060606,0.089829767607
010700060607,0.104385611485
010700060701,0.0546976567234
010700060702,0.0434855858913
010700060703,0.0662164474437
010700060801,0.106240971966
010700060802,0.0588152978396
010700060803,0.0270939636352
010700060804,0.0698873209455
010700060901,0.179972462171
010700060902,0.149547928949
010700060903,0.0927848860468
010700060904,0.197347323414
010700060905,0.0973925966277
010700060906,0.133010093459
010700061001,0.0974467675164
010700061002,0.171333621197
010700061101,0.0766658127749
