HUC_12,Acres_Unpo
010600030103,0.0
010600030104,0.0
010600030201,0.0
010600030202,0.0
010600030203,0.0
010600030204,0.0
010600030205,0.0
010600030206,0.0
010600030207,0.0
010600030301,0.0
010600030302,0.0
010600030303,0.0
010600030401,0.0
010600030402,0.0
010600030501,0.0
010600030502,0.0
010600030503,0.0
010600030504,0.0
010600030505,0.0
010600030506,0.0
010600030507,0.0
010600030601,0.0
010600030602,0.0
010600030603,0.0
010600030604,0.0
010600030605,0.0
010600030606,0.0
010600030607,0.0
010600030608,0.0
010600030701,0.0
010600030702,0.0
010600030703,0.0
010600030704,0.0
010600030705,0.0
010600030706,0.0
010600030707,0.0
010600030708,0.0
010600030709,0.0
010600030801,0.0
010600030802,0.0
010600030803,0.0
010600030804,0.0
010600030805,0.0
010600030806,0.0
010600030901,0.0
010600030902,0.0
010600030903,0.0
010600030904,0.0
010600031001,0.0
010600031002,0.0
010600031003,0.0
010600031004,0.0
010600031005,0.0
010600031101,0.0
010600031102,0.0
010600031103,0.0
010600031104,0.0
010600031105,0.0
010600031106,0.0
010700010101,0.0
010700010102,0.0
010700010103,0.0
010700010104,0.0
010700010201,0.0
010700010202,0.0
010700010203,0.0
010700010204,0.0
010700010205,0.0
010700010206,0.0
010700010301,0.0
010700010302,0.0
010700010303,0.0
010700010304,0.0
010700010305,0.0
010700010306,0.0
010700010307,0.0
010700010401,0.0
010700010402,0.0
010700010403,0.0
010700010404,0.0
010700010501,0.0
010700010502,0.0
010700010601,0.0
010700010602,0.0
010700010603,0.0
010700010701,0.0
010700010702,0.0
010700010801,0.0
010700010802,0.0
010700010803,0.0
010700010804,0.0
010700020101,0.0
010700020102,0.0
010700020103,0.0
010700020104,0.0
010700020105,0.0
010700020106,0.0
010700020107,0.0
010700020108,0.0
010700020109,0.0
010700020110,0.0
010700020201,0.0
010700020202,0.0
010700030101,0.0
010700030102,0.0
010700030103,0.0
010700030104,0.0
010700030105,0.0
010700030106,0.0
010700030107,0.0
010700030108,0.0
010700030201,0.0
010700030202,0.0
010700030203,0.0
010700030204,0.0
010700030301,0.0
010700030302,0.0
010700030303,0.0
010700030401,0.0
010700030402,0.0
010700030403,0.0
010700030404,0.0
010700030501,0.0
010700030502,0.0
010700030503,0.0
010700030504,0.0
010700030601,0.0
010700030602,0.0
010700030603,0.0
010700040101,0.0
010700040102,0.0
010700040103,0.0
010700040201,0.0
010700040202,0.0
010700040203,0.0
010700040204,0.0
010700040205,0.0
010700040301,0.0
010700040302,0.0
010700040401,0.0
010700040402,0.0
010700050101,0.0
010700050102,0.0
010700050103,0.0
010700050104,0.0
010700050201,0.0
010700050202,0.0
010700050203,0.0
010700050204,0.0
010700050205,0.0
010700050206,0.0
010700060101,0.0
010700060102,0.0
010700060201,0.0
010700060202,0.0
010700060301,0.0
010700060302,0.0
010700060401,0.0
010700060402,0.0
010700060501,0.0
010700060502,0.0
010700060503,0.0
010700060601,0.0
010700060602,0.0
010700060603,0.0
010700060604,0.0
010700060605,0.0
010700060606,0.0
010700060607,0.0
010700060701,0.0
010700060702,0.0
010700060703,0.0
010700060801,0.0
010700060802,0.0
010700060803,0.0
010700060804,0.0
010700060901,0.0
010700060902,0.0
010700060903,0.0
010700060904,0.0
010700060905,0.0
010700060906,0.0
010700061001,0.0
010700061002,0.0
010700061101,0.0
010700061102,0.0
010700061201,0.0
010700061202,0.0
010700061203,0.0
010700061204,0.0
010700061205,0.0
010700061206,0.0
010700061207,0.0
010700061301,0.0
010700061302,0.0
010700061303,0.0
010700061401,0.0
010700061402,0.0
010700061403,0.0
010700061404,0.0
010801010101,0.0
010801010102,0.0
010801010103,0.0
010801010104,0.0
010801010201,0.0
010801010202,0.0
010801010203,0.0
010801010301,0.0
010801010303,0.0
010801010304,0.0
010801010305,0.0
010801010401,0.0
010801010402,0.0
010801010403,0.0
010801010404,0.0
010801010405,0.0
010801010501,0.0
010801010502,0.0
010801010503,0.0
010801010601,0.0
010801010602,0.0
010801010603,0.0
010801010701,0.0
010801010702,0.0
010801010703,0.0
010801010704,0.0
010801010705,0.0
010801010706,0.0
010801010707,0.0
010801010801,0.0
010801010802,0.0
010801010803,0.0
010801010804,0.0
010801010805,0.0
010801010806,0.0
010801010901,0.0
010801010902,0.0
010801010903,0.0
010801020101,0.0
010801020102,0.0
010801020103,0.0
010801020104,0.0
010801020201,0.0
010801020202,0.0
010801020203,0.0
010801020301,0.0
010801020302,0.0
010801020401,0.0
010801020402,0.0
010801020403,0.0
010801030101,0.0
010801030102,0.0
010801030201,0.0
010801030202,0.0
010801030203,0.0
010801030204,0.0
010801030205,0.0
010801030206,0.0
010801030301,0.0
010801030302,0.0
010801030303,0.0
010801030304,0.0
010801030401,0.0
010801030402,0.0
010801030403,0.0
010801030501,0.0
010801030502,0.0
010801030503,0.0
010801030504,0.0
010801030505,0.0
010801030506,0.0
010801030601,0.0
010801030602,0.0
010801030701,0.0
010801030702,0.0
010801030703,0.0
010801040101,0.0
010801040102,0.0
010801040103,0.0
010801040104,0.0
010801040201,0.0
010801040202,0.0
010801040203,0.0
010801040204,0.0
010801040205,0.0
010801040301,0.0
010801040302,0.0
010801040303,0.0
010801040304,0.0
010801040401,0.0
010801040402,0.0
010801050101,0.0
010801050102,0.0
010801050103,0.0
010801050104,0.0
010801050105,0.0
010801050106,0.0
010801050201,0.0
010801050202,0.0
010801050203,0.0
010801050301,0.0
010801050302,0.0
010801050401,0.0
010801050402,0.0
010801050501,0.0
010801050502,0.0
010801050503,0.0
010801060101,0.0
010801060102,0.0
010801060103,0.0
010801060104,0.0
010801060105,0.0
010801060106,0.0
010801060201,0.0
