HUC_12,HUC12_Pop
010500020604,2550.23762243
010500020701,1060.58081313
010500020702,0.0
010500020703,3.10693870472
010500020801,549.586604674
010500020802,411.662928856
010500020803,2249.46728205
010500020804,506.543831164
010500020805,10.1644142431
010500020901,5.3651813199
010500020902,43.1836947831
010500020903,61.5192261976
010500020904,1350.87439204
010500020905,968.342830284
010500020906,830.629124462
010500020907,0.0
010500020908,0.00176265426853
010500021001,37.6450493611
010500021002,34.5019957604
010500021003,3.23331854281
010500021004,94.3417149882
010500021005,1728.62202184
010500021006,251.337680589
010500021007,0.0
010500021008,0.000163035918376
010500021101,39.7340491039
010500021102,421.11264983
010500021103,780.169184262
010500021104,0.0
010500021105,0.810395925415
010500021106,524.992241439
010500021107,0.0
010500021108,1.42043450501
010500021109,677.666820036
010500021110,0.0
010500021111,2.45549876615
010500021201,3.00000013062
010500021202,5.4406727443
010500021203,14.809209561
