HUC_12,Terrestrial_Acres,Rare_Acres,Protected_Rare_Acres,Percent_of_HUC_Rare,Percent_Rare_Area_Protected
010200030704,26367,0.0,None,0.0,None
010200040101,14149,0.0,None,0.0,None
010200040102,8021,0.0,None,0.0,None
010200040103,23227,0.0,None,0.0,None
010200040104,11321,0.0,None,0.0,None
010200040105,14277,0.0,None,0.0,None
010200040106,11049,0.0,None,0.0,None
010200040107,18062,0.0,None,0.0,None
010200040108,7377,0.0,None,0.0,None
010200040109,12797,0.0,None,0.0,None
010200040110,21163,0.0,None,0.0,None
010200040111,23982,0.0,None,0.0,None
010200040201,14977,0.0,None,0.0,None
010200040202,21284,0.0,None,0.0,None
010200040203,19729,0.0,None,0.0,None
010200040204,26547,0.0,None,0.0,None
010200040205,30839,0.0,None,0.0,None
010200040301,17911,4.892666988,0.0,0.0273165484228,0.0
010200040302,21668,0.0,None,0.0,None
010200040303,8973,0.0,None,0.0,None
010200040304,12456,0.0,None,0.0,None
010200040305,15024,0.0,None,0.0,None
010200040306,17044,0.0,None,0.0,None
010200040307,29475,0.0,None,0.0,None
010200040308,15564,0.0,None,0.0,None
010200040309,10556,0.0,None,0.0,None
010200040310,13307,0.0,None,0.0,None
010200040311,31684,0.0,None,0.0,None
010200040312,15857,0.0,None,0.0,None
010200040401,25622,4.670273034,0.0,0.0182275897042,0.0
010200040402,27271,17.124334458,0.0,0.0627932032489,0.0
010200040403,17050,0.0,None,0.0,None
010200040404,14490,0.0,None,0.0,None
010200040405,18213,0.0,None,0.0,None
010200040406,10024,8.228576298,0.0,0.08208874998,0.0
010200040407,20077,16.901940504,0.0,0.0841855880062,0.0
010200040408,17056,0.0,None,0.0,None
010200040409,40511,0.0,None,0.0,None
010200040410,22657,0.0,None,0.0,None
010200040501,33536,0.0,None,0.0,None
010200040502,24431,0.0,None,0.0,None
010200040503,27333,0.0,None,0.0,None
010200040504,9005,0.0,None,0.0,None
010200040601,32904,0.0,None,0.0,None
010200040602,22156,0.0,None,0.0,None
010200040603,8952,0.0,None,0.0,None
010200040604,33203,0.0,None,0.0,None
010200050101,27243,0.0,None,0.0,None
010200050102,14528,0.0,None,0.0,None
010200050103,29047,0.0,None,0.0,None
010200050104,28768,0.0,None,0.0,None
010200050201,25171,0.0,None,0.0,None
010200050202,9790,0.0,None,0.0,None
010200050203,14877,0.0,None,0.0,None
010200050204,33187,0.0,None,0.0,None
010200050205,18767,0.0,None,0.0,None
010200050206,24766,0.0,None,0.0,None
010200050207,26835,0.0,None,0.0,None
010200050208,27754,0.0,None,0.0,None
010200050301,13524,0.0,None,0.0,None
010200050302,11026,0.0,None,0.0,None
010200050303,28424,0.0,None,0.0,None
010200050304,9175,0.0,None,0.0,None
010200050305,36368,0.0,None,0.0,None
010200050306,31913,0.0,None,0.0,None
010200050307,30890,0.0,None,0.0,None
010200050308,10798,0.0,None,0.0,None
010200050309,10398,0.0,None,0.0,None
010200050310,24281,0.0,None,0.0,None
010200050311,27735,0.0,None,0.0,None
010200050401,17617,0.0,None,0.0,None
010200050402,34313,0.0,None,0.0,None
010200050403,12364,0.0,None,0.0,None
010200050404,13446,0.0,None,0.0,None
010200050405,27123,0.0,None,0.0,None
010200050406,14466,0.0,None,0.0,None
010200050407,18968,0.0,None,0.0,None
010200050408,26082,0.0,None,0.0,None
010200050501,19424,0.0,None,0.0,None
010200050502,17969,0.0,None,0.0,None
010200050503,24308,0.0,None,0.0,None
010200050504,26396,0.0,None,0.0,None
010200050505,24387,0.0,None,0.0,None
010200050506,20626,0.0,None,0.0,None
010200050507,18337,0.0,None,0.0,None
010200050508,10994,0.0,None,0.0,None
010200050509,17407,0.0,None,0.0,None
010200050510,7432,0.0,None,0.0,None
010200050601,28268,0.0,None,0.0,None
010200050602,28041,0.0,None,0.0,None
010200050603,20953,0.0,None,0.0,None
010200050701,16909,0.0,None,0.0,None
010200050702,12087,0.0,None,0.0,None
010200050703,25313,0.0,None,0.0,None
010200050704,16753,0.0,None,0.0,None
010200050705,12429,0.0,None,0.0,None
010200050706,28454,0.0,None,0.0,None
010200050707,27639,0.0,None,0.0,None
010200050801,21075,0.0,None,0.0,None
010200050802,14007,0.0,None,0.0,None
010200050803,17806,0.0,None,0.0,None
010200050804,25001,0.0,None,0.0,None
010200050805,18178,0.0,None,0.0,None
010200050901,23598,0.0,None,0.0,None
010200050902,27844,0.0,None,0.0,None
010200050903,16409,0.0,None,0.0,None
010200050904,19701,0.0,None,0.0,None
010200050905,13218,0.0,None,0.0,None
010200050906,6404,0.0,None,0.0,None
010200051001,11796,0.0,None,0.0,None
010200051002,11598,0.0,None,0.0,None
010200051003,22798,0.0,None,0.0,None
010200051004,20821,0.0,None,0.0,None
010200051005,13607,0.0,None,0.0,None
010200051006,20732,0.0,None,0.0,None
010200051007,30512,0.0,None,0.0,None
010200051008,12813,0.0,None,0.0,None
010200051009,24200,0.0,None,0.0,None
010300010101,20797,0.889575816,0.0,0.00427742374381,0.0
010300010102,22653,202.156104186,0.0,0.892403232181,0.0
010300010201,12717,0.0,None,0.0,None
010300010202,14095,2.891121402,0.0,0.020511680752,0.0
010300010203,13470,0.0,None,0.0,None
010300010204,23702,2.446333494,0.0,0.0103212112649,0.0
010300010205,13803,0.0,None,0.0,None
010300010206,35905,1.334363724,0.0,0.0037163729954,0.0
010300010301,14479,0.0,None,0.0,None
010300010302,23642,0.0,None,0.0,None
010300010303,39714,16.012364688,0.0,0.0403191939568,0.0
010300010304,15222,0.0,None,0.0,None
010300010305,13425,0.0,None,0.0,None
010300010306,23002,0.0,None,0.0,None
010300010307,10679,126.097371918,0.0,1.18079756455,0.0
010300010308,25486,0.0,None,0.0,None
010300010309,21308,0.0,None,0.0,None
010300010310,15402,0.0,None,0.0,None
010300010401,15910,0.0,None,0.0,None
010300010402,10703,0.0,None,0.0,None
010300010403,19495,0.0,None,0.0,None
010300010404,33367,0.0,None,0.0,None
010300010501,9473,0.0,None,0.0,None
010300010502,19933,0.0,None,0.0,None
010300010503,14998,0.0,None,0.0,None
010300010504,12965,0.0,None,0.0,None
010300010505,14074,0.0,None,0.0,None
010300010506,21743,0.889575816,0.0,0.00409132049855,0.0
010300010507,21349,0.0,None,0.0,None
010300010508,8543,0.0,None,0.0,None
010300010509,7626,0.0,None,0.0,None
010300010510,133365,0.0,None,0.0,None
010300010601,21058,0.0,None,0.0,None
010300010602,19592,0.0,None,0.0,None
