HUC_12,P_NonBuff_Ag,P_Ag_Buffered,Avg_Buff_Width
010200051004,0.526860296726,89.0538444494,289.627742078
010200051005,0.316584795713,94.2210306822,276.91152815
010200051006,1.22614490986,81.0132890365,229.595182724
010200051007,2.60011792183,72.3569049648,135.094183255
010200051008,2.42249917984,73.430408472,146.908729407
010200051009,0.869686663151,82.0313977681,143.84917473
010300010101,0.0,100.0,353.647058824
010300010102,0.0,100.0,830.5
010300010201,0.0,100.0,330.666666667
010300010202,0.0,100.0,1015.82608696
010300010203,0.0,100.0,813.0
010300010204,0.0,None,None
010300010205,0.0,100.0,537.666666667
010300010206,0.0,100.0,457.37037037
010300010301,0.0,100.0,606.181818182
010300010302,0.00376357231289,96.7479674797,288.772357724
010300010303,0.0,100.0,50.0714285714
010300010304,0.0,100.0,408.682926829
010300010305,0.0,100.0,712.333333333
010300010306,0.0,100.0,504.714285714
010300010307,0.00833420176059,92.5925925926,180.37037037
010300010308,0.0,100.0,449.263157895
010300010309,0.00104265497066,99.2700729927,583.693430657
010300010310,0.0,100.0,850.9
010300010401,0.0,None,None
010300010402,0.0,100.0,1262.0
010300010403,0.0,100.0,437.0625
010300010404,0.00195362092927,96.0526315789,128.684210526
010300010501,0.00469494611025,50.0,681.5
010300010502,0.0,100.0,486.133333333
010300010503,0.0,100.0,616.782608696
010300010504,0.0,100.0,331.903225806
010300010505,0.0,100.0,468.896551724
010300010506,0.00613496918231,95.2755905512,561.653543307
