HUC_12,Crop_P_removal_kg_ha
010300010304,0.000400541041728
010300010305,0.0
010300010306,0.0
010300010307,0.00110033105608
010300010308,0.0
010300010309,0.000509264772824
010300010310,0.0
010300010401,0.0
010300010402,0.0
010300010403,0.0
010300010404,0.0
010300010501,0.0
010300010502,0.0
010300010503,0.0
010300010504,0.0
010300010505,0.0
010300010506,0.0
010300010507,0.0
010300010508,0.0
010300010509,0.0
010300010510,3.33007876451e-05
010300010601,0.0
010300010602,0.0
010300010603,0.0
010300010604,0.0
010300010605,0.00830528829659
010300010606,0.0
010300010607,0.000976223888711
010300010608,0.0
010300010609,0.0
010300010610,0.0
010300020101,0.0
010300020102,0.0
010300020103,0.0
010300020104,0.0
010300020105,0.0
010300020106,0.0
010300020201,0.0
010300020202,0.0
010300020203,0.0
010300020204,0.0
010300020301,0.0
010300020302,0.0
010300020303,0.0
010300020304,0.00273378513233
010300020401,0.0
010300020402,0.0
010300020403,0.0
010300020404,0.0
010300020405,0.0
010300020406,0.0
010300020501,0.0
010300020502,0.0
010300020503,0.0
010300020504,0.0
010300020505,0.0
010300020506,0.0
010300030101,0.0
010300030102,0.0
010300030103,0.00646138800591
010300030104,0.00529415630205
010300030105,0.0
010300030106,0.0041146021955
010300030201,0.00617010799513
010300030202,0.0198762791152
010300030203,0.0629220188392
010300030301,0.288329373586
010300030302,0.0881225861684
010300030303,0.0263102591366
010300030304,0.484729867192
010300030401,0.0
010300030402,0.0234992656483
010300030501,0.00378477331297
010300030502,0.10306548868
010300030503,0.211728635106
010300030601,0.0659426964774
010300030602,0.250264501996
010300030701,0.00116852097699
010300030702,0.0291227873749
010300030703,0.113252221735
010300030801,0.153068621852
010300030802,0.0037343753351
010300030803,0.313531700999
010300030804,0.539594879334
010300030901,0.00135823683989
010300030902,0.00154718859364
010300030903,0.0182149364034
010300030904,0.134095455745
010300030905,0.217181848691
010300031001,0.15128797303
010300031002,0.252310444244
010300031003,0.163882579207
010300031004,0.726745542938
010300031101,0.125116636758
010300031102,0.259504908612
010300031103,0.718913671494
010300031201,0.182537150434
010300031202,0.334893010783
010300031203,0.403712114398
010300031204,0.357163274163
010300031205,0.457320637278
010300031206,0.890044899243
010300031301,0.786732284176
010300031302,1.06158942502
010300031401,0.154176862783
010300031402,0.221273168136
010300031403,0.775740328855
010300031404,0.76104885795
010300031405,1.03040323462
010300031501,1.01271086694
010300031502,0.575772987182
010300031503,0.318630654697
010300031504,0.571981435738
010300031505,1.14107944309
010300031506,0.486060377666
010300031507,1.81739384027
010300031601,0.346300888096
010300031602,0.264639860733
010300031603,0.273605712742
010300031604,0.375494867052
010300031605,0.373213730328
010300031606,0.150943746154
010300031701,0.773333236694
010300031702,0.718665146176
010300031801,0.502061022404
010300031802,1.09081353261
010300031803,1.37848802097
010300031804,1.38018897173
010300031805,0.606681289885
010300031806,0.720327812559
